Number,CO TAQI,Compare
4616,7.30248439539,6
4617,6.09124681568,6
4618,6.29160224752,6
4619,6.11868567934,5
4620,5.38600685449,6
4621,6.35413669612,5
4622,5.50373236288,3
4623,3.55534725854,3
4624,3.53397110542,3
4625,3.55534725854,3
4626,3.54769053725,3
4627,3.75570269038,3
4628,3.7327325265,5
4629,5.33878584846,3
4630,3.62872644994,3
4631,3.84598933511,5
4632,5.2347797719,5
4633,5.19362147641,5
4634,5.17671402308,5
4635,5.14321244888,6
4636,6.65402950474,7
4637,7.16019471237,3
4638,3.81536244995,3
4639,3.47431134585,3
4640,3.44368446069,3
4641,3.53237709467,3
4642,3.96977755404,3
4643,3.7694221222,5
4644,5.50085767385,5
4645,5.65686678869,5
4646,5.2347797719,5
4647,5.14608713792,7
4648,6.99684220871,7
4649,6.90527488569,3
4650,3.66254135661,5
4651,5.36335002309,5
4652,5.45810536761,5
4653,5.16905730179,5
4654,5.45044864632,6
4655,6.14484386471,6
4656,6.60202646645,6
4657,6.24119321999,3
4658,3.56140996908,3
4659,3.90246107318,5
4660,5.30209625276,6
4661,6.03636908836,8
4662,8.02622582066,8
4663,7.87946743786,7
4664,7.13913189172,7
4665,7.51080988098,7
4666,7.38702166205,7
4667,6.69407471106,2
4668,3.11012248876,3
4669,3.93149394759,2
4670,2.71866235713,3
4671,3.75410867962,5
4672,5.22871706136,6
4673,6.2367245202,6
4674,6.22300508837,7
4675,6.81498824096,8
4676,8.229769274,8
4677,7.91009432302,7
4678,6.91580629602,5
4679,4.79897332328,3
4680,3.51706365209,3
4681,3.30298878842,5
4682,4.96104514867,7
4683,7.02906310462,8
4684,7.88106144861,8
4685,7.54160435527,6
4686,6.25363197353,6
4687,6.58702635634,6
4688,6.36370076063,6
4689,6.21375435633,6
4690,6.40645306687,6
4691,6.12346771159,3
4692,3.93915066888,5
4693,5.62942792503,6
4694,6.44473667333,8
4695,7.94997194023,8
4696,7.71580160173,3
4697,3.66701005639,3
4698,4.04315674544,6
4699,6.49514570086,7
4700,7.06256467882,2
4701,2.65134587627,3
4702,3.58438013295,3
4703,3.68072948822,6
4704,6.28713354773,7
4705,6.76139119192,5
4706,5.11705426351,6
4707,6.17706476063,8
4708,7.77099266151,6
4709,6.45079938386,7
4710,7.11009901731,7
4711,7.16816476613,6
4712,6.38954561354,6
4713,6.383482903,7
4714,7.56281291926,7
4715,7.20644837258,7
4716,7.19113493,6
4717,6.18472148192,9
4718,8.48995205453,9
4719,8.80197028422,8
4720,7.64082839957,3
4721,3.99115370716,5
4722,5.70121310568,6
4723,6.33754257526,7
4724,7.33629930205,7
4725,7.55037416572,8
4726,8.36121421422,8
4727,7.96816007184,7
4728,7.53059202335,7
4729,7.4189292255,6
4730,6.32382314343,6
4731,6.34519929655,7
4732,7.20485436183,8
4733,8.14713935056,11
4734,10.4507759124,8
4735,7.97134809335,10
4736,9.12468751336,6
4737,5.7824166075,5
4738,5.1614005805,3
4739,4.04315674544,5
4740,5.58348759729,7
4741,7.19879165129,6
4742,6.30244699031,7
4743,7.22016780441,6
4744,6.44314266257,6
4745,6.1601573073,7
4746,7.28907829603,7
4747,6.9311197386,3
4748,4.147162822,3
4749,3.82748787102,5
4750,5.70886982697,5
4751,5.44885463557,6
4752,6.31616642214,7
4753,7.29195298506,6
4754,6.73059671764,6
4755,6.4935516901,7
4756,7.4923084169,8
4757,7.74324046538,6
4758,6.3802948815,6
4759,6.1158109903,5
4760,5.21946632932,3
4761,3.84280131361,3
4762,3.9637148435,3
4763,4.15322553254,5
4764,5.6125204717,3
4765,3.65775932435,3
4766,4.1072852048,5
4767,5.63549063557,6
4768,6.36498143892,6
4769,6.41857848795,3
4770,3.98509099662,5
4771,5.23637378265,5
4772,5.16905730179,5
4773,4.92435555296,3
4774,3.74804596908,3
4775,3.56140996908,3
4776,3.78314155403,5
4777,5.41216503987,5
4778,5.11705426351,3
4779,3.85811475619,5
4780,5.21946632932,5
4781,5.50692038439,5
4782,5.64761605665,6
4783,5.91226753697,7
4784,6.98152876613,5
4785,5.51010840589,3
4786,3.59809956478,3
4787,3.48643676693,5
4788,5.55445472288,5
4789,5.27306337835,5
4790,5.41375905062,3
4791,3.87949090931,5
4792,5.57870556504,5
4793,5.29731422051,5
4794,5.15980656975,3
4795,3.8061117179,3
4796,3.71741908392,3
4797,4.01412387103,5
4798,5.36941273363,5
4799,5.2347797719,3
4800,3.55694126929,3
4801,3.45134118198,3
4802,3.4360277394,3
4803,3.8137684392,5
4804,5.03442434007,3
4805,3.54769053725,3
4806,3.45899790327,3
4807,3.41465158628,3
4808,3.28767534584,3
4809,3.37477396907,2
4810,2.92348648875,3
4811,4.05081346673,3
4812,3.59044284349,3
4813,3.75410867962,3
4814,3.33967838412,2
4815,2.63603243368,2
4816,2.61306226981,3
4817,3.56747267962,3
4818,3.82589386027,3
4819,4.05528216652,3
4820,4.07218961985,2
4821,2.80416696961,3
4822,3.48484275617,5
4823,5.34931725879,3
4824,3.37317995832,5
4825,5.38919487599,3
4826,3.54769053725,3
4827,3.55375324779,3
4828,3.53843980521,3
4829,3.4251829966,5
4830,5.31422167384,3
4831,3.59172352177,3
4832,3.74166992608,3
4833,3.20313807918,5
4834,5.22521570739,3
4835,3.42358898585,3
4836,3.50175020951,3
4837,3.53237709467,3
4838,3.46506061381,3
4839,3.57066070112,3
4840,3.51865766284,5
4841,5.05898851469,5
4842,4.96551384845,3
4843,3.57831742241,3
4844,3.549284548,3
4845,3.42837101811,3
4846,3.34733510541,3
4847,3.48803077768,3
4848,3.40699486499,2
4849,2.77672810595,2
4850,2.61912498035,3
4851,3.55822194757,3
4852,3.42071429681,2
4853,2.79204154853,3
4854,3.58438013295,3
4855,3.57672341166,2
4856,2.62996972315,2
4857,2.72791308917,3
4858,3.38721272262,3
4859,3.60735029682,3
4860,3.45134118198,3
4861,3.51706365209,5
4862,5.05420648243,5
4863,4.87682121447,3
4864,3.37636797982,3
4865,3.53237709467,3
4866,3.44368446069,3
4867,3.56300397983,3
4868,3.52472037338,5
4869,5.17958871212,6
4870,6.00861689224,3
4871,3.32595895229,3
4872,3.41465158628,3
4873,3.59203685424,3
4874,3.54769053725,3
4875,3.57672341166,3
4876,3.57353539016,2
4877,2.80129228057,2
4878,2.68197276143,2
4879,2.91295507842,2
4880,2.71259964659,2
4881,2.71866235713,2
4882,2.8517013081,3
4883,3.53237709467,3
4884,3.45740389252,3
4885,3.44846649294,3
4886,3.68551152048,3
4887,3.5601292908,3
4888,3.6701980779,3
4889,3.74485794758,3
4890,3.58884883274,3
4891,3.51387563058,3
4892,3.55375324779,3
4893,3.92064920479,5
4894,5.23924847169,5
4895,4.85991376114,3
4896,3.48643676693,2
4897,2.72025636788,3
4898,3.42230830757,3
4899,3.37477396907,3
4900,3.47718603488,5
4901,5.00826615469,3
4902,3.58884883274,3
4903,3.52631438413,3
4904,3.55534725854,5
4905,4.94573170608,3
4906,3.56140996908,3
4907,3.5125949523,3
4908,3.41624559703,5
4909,4.96870186996,5
4910,5.21180960803,5
4911,5.07717664631,5
4912,4.79578530178,5
4913,4.77440914866,5
4914,4.8937286678,3
4915,3.6194757179,3
4916,3.48643676693,3
4917,3.6226637394,3
4918,3.49568749897,3
4919,3.44368446069,3
4920,3.5125949523,5
4921,4.88000923597,5
4922,4.90744809963,3
4923,3.50493823101,3
4924,3.45293519273,3
4925,3.52472037338,3
4926,3.3916814224,3
4927,3.46665462456,3
4928,3.61500701811,3
4929,3.53556511617,3
4930,3.42549632907,3
4931,3.63191447144,5
4932,4.98720333404,3
4933,3.53556511617,5
4934,4.91829284243,5
4935,4.90904211038,3
4936,3.48484275617,3
4937,3.50334422026,3
4938,3.62425775015,3
4939,3.64563390327,3
4940,3.46059191402,5
4941,4.82481817619,6
4942,6.02393033482,3
4943,3.47878004563,3
4944,3.48803077768,3
4945,3.53397110542,3
4946,3.549284548,3
4947,3.52025167359,3
4948,3.4759053566,3
4949,3.60735029682,3
4950,3.65775932435,3
4951,3.61660102886,5
4952,5.01623620845,5
4953,5.11705426351,5
4954,4.84331964027,3
4955,3.38561871187,3
4956,3.37955600133,5
4957,4.90904211038,5
4958,4.91669883167,5
4959,4.83566291898,5
4960,4.93648097404,5
4961,4.73740622049,5
4962,4.94860639512,7
4963,6.69088668956,5
4964,4.91829284243,5
4965,4.85097636156,6
4966,5.68000454168,5
4967,4.89532267855,3
4968,3.37030526929,3
4969,3.46665462456,3
4970,3.54769053725,3
4971,3.49568749897,3
4972,3.64850859231,5
4973,5.31262766309,3
4974,3.65329062456,3
4975,3.51100094155,3
4976,3.5094069308,3
4977,3.70976236263,3
4978,3.50175020951,3
4979,3.53237709467,3
4980,3.84280131361,5
4981,5.27753207814,5
4982,4.98689000157,5
4983,4.82353749791,5
4984,4.84491365102,5
4985,5.18277673362,5
4986,5.28678281018,3
4987,3.8871476306,3
4988,4.23426144523,3
4989,3.729544505,3
4990,3.61022498586,5
4991,5.54042195858,5
4992,5.39685159728,3
4993,3.62872644994,5
4994,5.36781872287,5
4995,5.22106034007,5
4996,5.22871706136,3
4997,3.51706365209,5
4998,5.49320095256,6
4999,6.33594856451,5
5000,5.77299828633,5
5001,5.66739819902,5
5002,6.15073898613,5
5003,5.16427526954,6
5004,5.98724073912,7
5005,7.69425785949,7
5006,7.88536255928,7
5007,7.14678861301,5
5008,5.0880213891,6
5009,6.66328023678,7
5010,6.83158236182,7
5011,6.98312277688,5
5012,5.3923828975,5
5013,5.43672921449,6
5014,6.58224432409,7
5015,6.9678093343,7
5016,7.12222443839,6
5017,6.15409459676,5
5018,5.56051743342,5
5019,6.05598364161,6
5020,6.48589496881,6
5021,6.75197287076,7
5022,7.53506072314,6
5023,6.24278723074,7
5024,6.91580629602,7
5025,6.63441495149,8
5026,7.82587038883,9
5027,8.68711946486,8
5028,7.7020821699,7
5029,6.74767176009,5
5030,5.6125204717,5
5031,4.95498243813,6
5032,6.19844091375,6
5033,6.13271844364,5
5034,5.65239808891,5
5035,5.32059771685,5
5036,5.13077369534,5
5037,5.14608713792,8
5038,7.70973889119,9
5039,8.43476099475,8
5040,8.00484966754,5
5041,5.75481015472,7
5042,7.21410509388,5
5043,5.48713824202,5
5044,5.71652654826,5
5045,5.75481015472,6
5046,6.26575739461,7
5047,7.10084828527,5
5048,5.76693557579,5
5049,5.99791789279,6
5050,6.53949201785,8
5051,8.01250638883,3
5052,3.99881042845,3
5053,3.93308795834,5
5054,5.93060141193,6
5055,6.70156384323,6
5056,6.59915177742,7
5057,7.52452931281,7
5058,7.5688756298,7
5059,7.45115012141,6
5060,6.53183529656,7
5061,7.87929984874,8
5062,8.34590077164,8
5063,8.06610343787,7
5064,7.45721283195,7
5065,7.70797729132,8
5066,8.02941384217,8
5067,8.17617222497,8
5068,8.33058732906,9
5069,8.79878226272,10
5070,9.21178613659,8
5071,8.12416918669,10
5072,9.91079579812,10
5073,9.427455011,8
5074,8.14554533981,9
5075,8.9608540881,9
5076,8.79112554143,7
5077,7.34714404485,8
5078,8.20520509938,8
5079,8.16245279314,7
5080,7.54590546593,7
5081,7.47093226378,9
5082,9.20714984768,9
5083,9.08017360724,6
5084,6.06699597353,5
5085,5.13236770609,8
5086,7.98187950367,8
5087,7.54607305505,7
5088,7.09319156398,8
5089,8.16532748218,10
5090,9.87251219166,11
5091,10.6080657055,11
5092,10.5713761098,9
5093,8.77262407734,7
5094,7.25526338936,6
5095,6.55002342817,6
5096,6.78100574517,7
