Number,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,CO TAQI
25,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-01-25,Parts per billion,16.086957,22,8,21,Parts per million,0.012333,0.021,9,18,Parts per billion,1.136364,2,8,3,Parts per million,0.745833,1.3,0,15,16
26,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-01-26,Parts per billion,18.695652,33,17,31,Parts per million,0.005292,0.014,9,12,Parts per billion,1.954545,5,16,7,Parts per million,0.854167,1.4,23,16,23
27,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-01-27,Parts per billion,16.695652,30,18,28,Parts per million,0.006583,0.019,10,16,Parts per billion,1,2,6,3,Parts per million,1.333333,2,8,23,18
28,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-01-28,Parts per billion,19.608696,30,20,28,Parts per million,0.005583,0.014,9,12,Parts per billion,1.409091,3,5,4,Parts per million,1.125,1.6,8,18,16
29,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-01-29,Parts per billion,19.652174,34,19,32,Parts per million,0.01175,0.022,9,19,Parts per billion,1,1,0,1,Parts per million,0.920833,1.4,23,16,19
30,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-01-30,Parts per billion,13.478261,29,1,27,Parts per million,0.023417,0.031,3,26,Parts per billion,0.454545,1,0,1,Parts per million,0.775,1.7,1,19,16
31,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-01-31,Parts per billion,19.26087,27,7,25,Parts per million,0.011583,0.019,10,16,Parts per billion,0.409091,1,0,1,Parts per million,0.895833,1.4,10,16,8
32,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-01,Parts per billion,14.434783,31,18,29,Parts per million,0.016333,0.023,9,19,Parts per billion,0.5,1,5,1,Parts per million,0.633333,0.7,0,8,16
33,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-02,Parts per billion,16.782609,38,18,36,Parts per million,0.010542,0.021,9,18,Parts per billion,0.590909,1,5,1,Parts per million,0.729167,1.4,23,16,16
34,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-03,Parts per billion,18.956522,26,11,25,Parts per million,0.013542,0.028,13,24,Parts per billion,3.772727,20,11,29,Parts per million,0.983333,1.4,0,16,18
35,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-04,Parts per billion,26.043478,32,19,30,Parts per million,0.007417,0.03,23,25,Parts per billion,1.454545,2,7,3,Parts per million,1.183333,1.6,9,18,17
36,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-05,Parts per billion,12.478261,30,18,28,Parts per million,0.018625,0.032,0,27,Parts per billion,0.409091,1,0,1,Parts per million,0.725,1.5,0,17,16
37,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-06,Parts per billion,14.826087,30,19,28,Parts per million,0.011125,0.027,9,23,Parts per billion,0.909091,1,0,1,Parts per million,0.816667,1.4,1,16,24
38,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-07,Parts per billion,22.526316,37,17,35,Parts per million,0.005625,0.014,9,12,Parts per billion,2.136364,4,9,6,Parts per million,1.329167,2.1,10,24,18
39,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-08,Parts per billion,26.095238,43,15,41,Parts per million,0.002833,0.007,11,6,Parts per billion,2.75,13,15,19,Parts per million,1.304167,1.6,12,18,14
40,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-09,Parts per billion,19.478261,28,2,26,Parts per million,0.014958,0.028,18,24,Parts per billion,0.863636,2,5,3,Parts per million,0.841667,1.2,0,14,14
41,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-10,Parts per billion,21.26087,35,18,33,Parts per million,0.010292,0.019,9,16,Parts per billion,0.909091,2,19,3,Parts per million,0.704167,1.2,21,14,14
42,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-11,Parts per billion,15,26,8,25,Parts per million,0.023708,0.036,17,31,Parts per billion,1.818182,4,5,6,Parts per million,0.841667,1.2,0,14,6
43,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-12,Parts per billion,10.73913,21,7,20,Parts per million,0.029375,0.036,23,31,Parts per billion,1,1,0,1,Parts per million,0.4625,0.5,8,6,5
44,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-13,Parts per billion,5.043478,9,18,8,Parts per million,0.026,0.037,0,31,Parts per billion,1,1,0,1,Parts per million,0.366667,0.4,0,5,7
45,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-14,Parts per billion,10.217391,23,23,22,Parts per million,0.026833,0.037,6,31,Parts per billion,1,1,0,1,Parts per million,0.3625,0.6,22,7,15
46,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-15,Parts per billion,19.695652,30,18,28,Parts per million,0.010958,0.022,10,19,Parts per billion,1.863636,3,5,4,Parts per million,0.804167,1.3,9,15,13
47,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-16,Parts per billion,24.608696,38,19,36,Parts per million,0.009917,0.022,10,19,Parts per billion,1.318182,2,5,3,Parts per million,0.845833,1.1,8,13,16
48,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-17,Parts per billion,22.913043,38,18,36,Parts per million,0.010625,0.026,9,22,Parts per billion,2.318182,3,5,4,Parts per million,0.925,1.4,23,16,18
49,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-18,Parts per billion,20,29,18,27,Parts per million,0.005375,0.014,13,12,Parts per billion,2.058824,3,6,4,Parts per million,1.23125,1.6,8,18,13
50,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-19,Parts per billion,16.434783,31,20,29,Parts per million,0.013833,0.026,9,22,Parts per billion,1.909091,4,5,6,Parts per million,0.733333,1.1,2,13,11
51,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-20,Parts per billion,13.26087,23,0,22,Parts per million,0.026708,0.041,21,35,Parts per billion,1.363636,2,0,3,Parts per million,0.695833,1,0,11,9
52,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-21,Parts per billion,14.608696,39,19,37,Parts per million,0.024542,0.04,0,34,Parts per billion,1.136364,2,20,3,Parts per million,0.458333,0.8,22,9,10
53,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-22,Parts per billion,11.217391,27,0,25,Parts per million,0.033042,0.04,17,34,Parts per billion,1,1,0,1,Parts per million,0.5625,0.9,0,10,13
54,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-23,Parts per billion,18.565217,38,19,36,Parts per million,0.017958,0.032,10,27,Parts per billion,1.409091,2,5,3,Parts per million,0.641667,1.1,10,13,13
55,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-24,Parts per billion,22.391304,31,8,29,Parts per million,0.011958,0.023,10,19,Parts per billion,1.227273,2,5,3,Parts per million,0.7875,1.1,9,13,10
56,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-25,Parts per billion,23.869565,36,21,34,Parts per million,0.012542,0.028,23,24,Parts per billion,1.590909,2,5,3,Parts per million,0.758333,0.9,8,10,9
57,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-26,Parts per billion,6.956522,20,0,19,Parts per million,0.035542,0.04,22,34,Parts per billion,1.045455,2,0,3,Parts per million,0.483333,0.8,0,9,5
58,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-27,Parts per billion,5.954545,12,19,11,Parts per million,0.035875,0.041,0,35,Parts per billion,1.047619,2,19,3,Parts per million,0.370833,0.4,0,5,8
59,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-28,Parts per billion,13.695652,30,6,28,Parts per million,0.029125,0.037,9,31,Parts per billion,1.272727,2,6,3,Parts per million,0.520833,0.7,8,8,9
60,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-02-29,Parts per billion,12.130435,33,19,31,Parts per million,0.025,0.039,10,33,Parts per billion,1.227273,2,12,3,Parts per million,0.5,0.8,23,9,13
61,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-01,Parts per billion,17.347826,36,19,34,Parts per million,0.018,0.03,10,25,Parts per billion,2.636364,6,14,9,Parts per million,0.779167,1.1,9,13,10
62,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-02,Parts per billion,18.173913,30,7,28,Parts per million,0.017417,0.026,10,22,Parts per billion,1.636364,3,14,4,Parts per million,0.641667,0.9,12,10,10
63,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-03,Parts per billion,19.565217,31,18,29,Parts per million,0.014417,0.025,9,21,Parts per billion,2.045455,3,11,4,Parts per million,0.704167,0.9,23,10,9
64,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-04,Parts per billion,12.173913,22,1,21,Parts per million,0.025417,0.03,9,25,Parts per billion,1.090909,2,0,3,Parts per million,0.566667,0.8,0,9,9
65,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-05,Parts per billion,9.521739,24,21,23,Parts per million,0.020375,0.032,1,27,Parts per billion,1,1,0,1,Parts per million,0.45,0.8,23,9,9
66,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-06,Parts per billion,19.608696,28,21,26,Parts per million,0.015125,0.025,22,21,Parts per billion,2.181818,7,11,10,Parts per million,0.733333,0.8,3,9,7
67,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-07,Parts per billion,15.217391,24,6,23,Parts per million,0.024875,0.03,12,25,Parts per billion,1.090909,2,7,3,Parts per million,0.541667,0.6,0,7,9
68,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-08,Parts per billion,15.434783,38,7,36,Parts per million,0.028917,0.037,20,31,Parts per billion,1.590909,2,5,3,Parts per million,0.55,0.8,8,9,7
69,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-09,Parts per billion,12.391304,25,20,24,Parts per million,0.025292,0.037,8,31,Parts per billion,1.227273,2,17,3,Parts per million,0.391667,0.6,22,7,13
70,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-10,Parts per billion,20.391304,30,17,28,Parts per million,0.018417,0.028,9,24,Parts per billion,2,3,5,4,Parts per million,0.741667,1.1,8,13,8
71,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-11,Parts per billion,12.869565,33,20,31,Parts per million,0.022583,0.04,10,34,Parts per billion,3.090909,8,19,11,Parts per million,0.458333,0.7,23,8,10
72,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-12,Parts per billion,13.73913,25,19,24,Parts per million,0.0205,0.039,10,33,Parts per billion,2.590909,5,11,7,Parts per million,0.608333,0.9,3,10,7
73,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-13,Parts per billion,15.782609,25,7,24,Parts per million,0.019375,0.032,10,27,Parts per billion,3.590909,12,17,17,Parts per million,0.525,0.6,0,7,9
74,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2000-03-14,Parts per billion,15.521739,33,19,31,Parts per million,0.015708,0.034,10,29,Parts per billion,2.681818,6,17,9,Parts per million,0.545833,0.8,22,9,13
