Number,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,CO TAQI
728,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2001-12-31,Parts per billion,13.545455,21,7,20,Parts per million,0.008053,0.013,0,11,Parts per billion,0.238095,1,12,1,Parts per million,0.545833,0.8,9,9,10
729,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-01,Parts per billion,11.478261,18,16,17,Parts per million,0.008208,0.017,17,14,Parts per billion,0.818182,2,5,3,Parts per million,0.6,0.9,6,10,9
730,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-02,Parts per billion,14.652174,28,19,26,Parts per million,0.007333,0.014,0,12,Parts per billion,0.090909,1,19,1,Parts per million,0.45,0.8,20,9,15
731,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-03,Parts per billion,17.26087,30,17,28,Parts per million,0.008208,0.02,9,17,Parts per billion,1.363636,5,14,7,Parts per million,0.729167,1.3,23,15,16
732,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-04,Parts per billion,15,23,18,22,Parts per million,0.008667,0.019,8,16,Parts per billion,1,2,18,3,Parts per million,0.820833,1.4,0,16,13
733,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-05,Parts per billion,15.478261,22,21,21,Parts per million,0.004292,0.009,9,8,Parts per billion,1.318182,3,5,4,Parts per million,0.716667,1.1,0,13,17
734,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-06,Parts per billion,16.826087,23,17,22,Parts per million,0.002208,0.004,13,3,Parts per billion,1.727273,6,14,9,Parts per million,0.908333,1.5,23,17,17
735,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-07,Parts per billion,20,26,15,25,Parts per million,0.002083,0.003,7,3,Parts per billion,1.909091,3,5,4,Parts per million,1.029167,1.5,0,17,17
736,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-08,Parts per billion,21.363636,33,13,31,Parts per million,0.002083,0.004,8,3,Parts per billion,3.1,13,14,19,Parts per million,1.116667,1.5,8,17,13
737,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-09,Parts per billion,16.782609,26,18,25,Parts per million,0.006375,0.015,9,13,Parts per billion,1.318182,6,14,9,Parts per million,0.658333,1.1,23,13,17
738,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-10,Parts per billion,18.695652,30,19,28,Parts per million,0.005875,0.013,9,11,Parts per billion,0.857143,2,7,3,Parts per million,1.025,1.5,8,17,15
739,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-11,Parts per billion,19.73913,34,18,32,Parts per million,0.007417,0.02,10,17,Parts per billion,1,2,5,3,Parts per million,0.870833,1.3,1,15,15
740,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-12,Parts per billion,23.347826,30,4,28,Parts per million,0.004458,0.009,10,8,Parts per billion,1.909091,7,10,10,Parts per million,0.783333,1.3,0,15,10
741,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-13,Parts per billion,18.347826,34,18,32,Parts per million,0.008417,0.021,9,18,Parts per billion,0.727273,2,5,3,Parts per million,0.595833,0.9,23,10,15
742,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-14,Parts per billion,21.090909,32,17,30,Parts per million,0.004292,0.011,9,9,Parts per billion,1.65,6,16,9,Parts per million,0.816667,1.3,23,15,22
743,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-15,Parts per billion,20.565217,37,19,35,Parts per million,0.011292,0.022,9,19,Parts per billion,1.227273,3,5,4,Parts per million,1.216667,1.9,9,22,14
744,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-16,Parts per billion,17.913043,38,19,36,Parts per million,0.013375,0.024,8,20,Parts per billion,0.5,2,19,3,Parts per million,0.658333,1.2,0,14,14
745,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-17,Parts per billion,23,39,17,37,Parts per million,0.007458,0.014,9,12,Parts per billion,0.809524,1,0,1,Parts per million,0.8,1.2,23,14,23
746,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-18,Parts per billion,26.478261,36,8,34,Parts per million,0.007,0.018,10,15,Parts per billion,2.090909,8,15,11,Parts per million,1.320833,2,9,23,18
747,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-19,Parts per billion,21.478261,38,18,36,Parts per million,0.009625,0.023,9,19,Parts per billion,1.363636,3,8,4,Parts per million,0.975,1.6,3,18,11
748,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-20,Parts per billion,20.304348,33,18,31,Parts per million,0.011375,0.028,9,24,Parts per billion,0.681818,2,8,3,Parts per million,0.716667,1,0,11,13
749,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-21,Parts per billion,14.304348,27,7,25,Parts per million,0.021583,0.029,16,25,Parts per billion,1.045455,5,5,7,Parts per million,0.591667,1.1,0,13,10
750,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-22,Parts per billion,19.478261,36,18,34,Parts per million,0.013208,0.029,9,25,Parts per billion,0.909091,3,12,4,Parts per million,0.575,0.9,22,10,15
751,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-23,Parts per billion,22.272727,36,18,34,Parts per million,0.009917,0.025,9,21,Parts per billion,2.142857,5,13,7,Parts per million,0.866667,1.3,10,15,17
752,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-24,Parts per billion,24.347826,38,8,36,Parts per million,0.00775,0.019,9,16,Parts per billion,1,2,7,3,Parts per million,1.016667,1.5,9,17,19
753,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-25,Parts per billion,35,54,15,51,Parts per million,0.004167,0.009,9,8,Parts per billion,2.772727,7,12,10,Parts per million,1.195833,1.7,10,19,9
754,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-26,Parts per billion,19.130435,30,20,28,Parts per million,0.011875,0.019,8,16,Parts per billion,0.227273,1,0,1,Parts per million,0.5,0.8,0,9,8
755,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-27,Parts per billion,15.26087,31,19,29,Parts per million,0.015875,0.031,10,26,Parts per billion,0.818182,4,11,6,Parts per million,0.4625,0.7,0,8,7
756,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-28,Parts per billion,14.782609,27,0,25,Parts per million,0.0215,0.028,11,24,Parts per billion,0.090909,1,8,1,Parts per million,0.4875,0.6,0,7,9
757,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-29,Parts per billion,16.869565,30,18,28,Parts per million,0.012667,0.026,9,22,Parts per billion,0.272727,1,14,1,Parts per million,0.491667,0.8,23,9,18
758,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-30,Parts per billion,23.347826,37,18,35,Parts per million,0.010583,0.026,9,22,Parts per billion,0.681818,2,7,3,Parts per million,0.9625,1.6,9,18,19
759,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-01-31,Parts per billion,29.222222,37,9,35,Parts per million,0.002063,0.005,14,4,Parts per billion,1.352941,4,12,6,Parts per million,1.29375,1.7,10,19,15
760,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-01,Parts per billion,24.73913,37,19,35,Parts per million,0.008208,0.021,10,18,Parts per billion,0.454545,2,8,3,Parts per million,0.920833,1.3,8,15,11
761,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-02,Parts per billion,22.217391,31,19,29,Parts per million,0.009083,0.023,10,19,Parts per billion,2.045455,8,16,11,Parts per million,0.745833,1,0,11,10
762,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-03,Parts per billion,20.217391,34,18,32,Parts per million,0.0095,0.024,10,20,Parts per billion,0.590909,2,9,3,Parts per million,0.729167,0.9,0,10,18
763,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-04,Parts per billion,24.217391,38,18,36,Parts per million,0.008417,0.022,9,19,Parts per billion,1,3,8,4,Parts per million,0.979167,1.6,9,18,16
764,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-05,Parts per billion,30.117647,44,18,42,Parts per million,0.002286,0.009,13,8,Parts per billion,1,2,15,3,Parts per million,1.085714,1.4,9,16,15
765,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-06,Parts per billion,25.043478,33,21,31,Parts per million,0.007375,0.018,11,15,Parts per billion,1.409091,3,5,4,Parts per million,0.908333,1.3,0,15,13
766,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-07,Parts per billion,16.347826,30,8,28,Parts per million,0.015958,0.025,16,21,Parts per billion,0.545455,2,7,3,Parts per million,0.625,1.1,8,13,13
767,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-08,Parts per billion,17.73913,36,18,34,Parts per million,0.012833,0.03,10,25,Parts per billion,0.636364,2,18,3,Parts per million,0.533333,1.1,23,13,15
768,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-09,Parts per billion,18.043478,34,20,32,Parts per million,0.015125,0.029,8,25,Parts per billion,0.272727,1,0,1,Parts per million,0.704167,1.3,1,15,13
769,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-10,Parts per billion,19.782609,32,17,30,Parts per million,0.011792,0.031,10,26,Parts per billion,0.363636,1,7,1,Parts per million,0.75,1.1,2,13,17
770,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-11,Parts per billion,24.043478,41,19,39,Parts per million,0.011292,0.03,10,25,Parts per billion,0.227273,1,6,1,Parts per million,0.9375,1.5,9,17,14
771,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-12,Parts per billion,26.478261,42,18,40,Parts per million,0.011,0.031,10,26,Parts per billion,1.181818,2,10,3,Parts per million,0.875,1.2,8,14,14
772,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-13,Parts per billion,26.217391,30,19,28,Parts per million,0.002958,0.007,9,6,Parts per billion,0.681818,2,13,3,Parts per million,0.95,1.2,0,14,13
773,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-14,Parts per billion,22.217391,39,18,37,Parts per million,0.013292,0.022,9,19,Parts per billion,0.5,1,5,1,Parts per million,0.866667,1.1,2,13,7
774,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-15,Parts per billion,16.695652,29,18,27,Parts per million,0.017708,0.032,10,27,Parts per billion,0,0,0,0,Parts per million,0.4375,0.6,0,7,8
775,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-16,Parts per billion,16.130435,29,1,27,Parts per million,0.019542,0.033,10,28,Parts per billion,0,0,0,0,Parts per million,0.5125,0.7,0,8,8
776,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-17,Parts per billion,11.913043,27,1,25,Parts per million,0.024583,0.036,9,31,Parts per billion,0.090909,2,10,3,Parts per million,0.458333,0.7,2,8,8
777,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-18,Parts per billion,15.782609,24,5,23,Parts per million,0.018875,0.031,10,26,Parts per billion,0.136364,1,5,1,Parts per million,0.504167,0.7,8,8,6
778,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-19,Parts per billion,12.869565,27,6,25,Parts per million,0.01725,0.022,7,19,Parts per billion,0,0,0,0,Parts per million,0.470833,0.5,0,6,7
779,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-20,Parts per billion,10.5,23,20,22,Parts per million,0.016458,0.026,11,22,Parts per billion,0.142857,1,15,1,Parts per million,0.375,0.6,23,7,8
780,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-21,Parts per billion,12.826087,27,18,25,Parts per million,0.010458,0.022,9,19,Parts per billion,0.045455,1,18,1,Parts per million,0.520833,0.7,22,8,9
781,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-22,Parts per billion,15.73913,28,15,26,Parts per million,0.015958,0.031,23,26,Parts per billion,0.909091,4,15,6,Parts per million,0.6625,0.8,8,9,6
782,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-23,Parts per billion,9.826087,24,20,23,Parts per million,0.026042,0.039,5,33,Parts per billion,0,0,0,0,Parts per million,0.3125,0.5,21,6,7
783,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-24,Parts per billion,12.173913,26,19,25,Parts per million,0.012625,0.029,10,25,Parts per billion,1.318182,4,16,6,Parts per million,0.479167,0.6,0,7,10
784,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-25,Parts per billion,17,39,18,37,Parts per million,0.014125,0.029,8,25,Parts per billion,0.272727,1,5,1,Parts per million,0.566667,0.9,23,10,13
785,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-26,Parts per billion,22.173913,37,18,35,Parts per million,0.011833,0.031,10,26,Parts per billion,0.409091,2,8,3,Parts per million,0.829167,1.1,9,13,19
786,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-27,Parts per billion,24.217391,44,9,42,Parts per million,0.010458,0.028,10,24,Parts per billion,0.5,2,8,3,Parts per million,1.0375,1.7,9,19,15
787,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-02-28,Parts per billion,20.956522,39,19,37,Parts per million,0.020417,0.04,23,34,Parts per billion,0.5,2,18,3,Parts per million,0.941667,1.3,1,15,9
788,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-01,Parts per billion,14.565217,36,20,34,Parts per million,0.022667,0.035,0,30,Parts per billion,0,0,0,0,Parts per million,0.575,0.8,0,9,9
789,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-02,Parts per billion,14.478261,33,18,31,Parts per million,0.022833,0.038,9,32,Parts per billion,0.045455,1,22,1,Parts per million,0.520833,0.8,0,9,10
790,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-03,Parts per billion,19.304348,32,18,30,Parts per million,0.021458,0.043,10,36,Parts per billion,0.681818,9,9,13,Parts per million,0.691667,0.9,3,10,14
791,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-04,Parts per billion,22.521739,36,8,34,Parts per million,0.029833,0.049,12,42,Parts per billion,0.545455,1,6,1,Parts per million,0.795833,1.2,9,14,8
792,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-05,Parts per billion,19.818182,35,6,33,Parts per million,0.019125,0.028,8,24,Parts per billion,0.190476,1,0,1,Parts per million,0.558333,0.7,10,8,7
793,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-06,Parts per billion,9.363636,21,8,20,Parts per million,0.023667,0.029,10,25,Parts per billion,0,0,0,0,Parts per million,0.416667,0.6,0,7,5
794,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-07,Parts per billion,6.913043,22,7,21,Parts per million,0.029583,0.036,13,31,Parts per billion,0.090909,1,22,1,Parts per million,0.308333,0.4,0,5,8
795,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-08,Parts per billion,17.608696,30,7,28,Parts per million,0.015833,0.031,10,26,Parts per billion,0.272727,2,9,3,Parts per million,0.491667,0.7,8,8,8
796,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-09,Parts per billion,17.521739,26,11,25,Parts per million,0.021167,0.033,13,28,Parts per billion,0.318182,2,12,3,Parts per million,0.5875,0.7,1,8,5
797,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-10,Parts per billion,5.73913,14,22,13,Parts per million,0.029792,0.041,10,35,Parts per billion,0,0,0,0,Parts per million,0.320833,0.4,0,5,7
798,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-11,Parts per billion,13,21,6,20,Parts per million,0.018583,0.031,10,26,Parts per billion,0.181818,1,14,1,Parts per million,0.441667,0.6,5,7,5
799,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-12,Parts per billion,8.956522,20,0,19,Parts per million,0.030125,0.039,19,33,Parts per billion,0.090909,1,17,1,Parts per million,0.233333,0.4,1,5,5
800,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-13,Parts per billion,7.190476,32,6,30,Parts per million,0.031609,0.04,8,34,Parts per billion,0.25,2,23,3,Parts per million,0.195652,0.4,12,5,6
801,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-14,Parts per billion,12.869565,29,6,27,Parts per million,0.0215,0.036,10,31,Parts per billion,1.454545,4,0,6,Parts per million,0.329167,0.5,7,6,5
802,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-15,Parts per billion,10,22,6,21,Parts per million,0.03175,0.042,9,36,Parts per billion,0.181818,1,5,1,Parts per million,0.308333,0.4,0,5,3
803,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-16,Parts per billion,6.391304,14,18,13,Parts per million,0.038083,0.042,7,36,Parts per billion,0.545455,1,9,1,Parts per million,0.245833,0.3,0,3,6
804,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-17,Parts per billion,10.26087,22,22,21,Parts per million,0.028875,0.039,9,33,Parts per billion,0.090909,1,9,1,Parts per million,0.316667,0.5,23,6,6
805,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-18,Parts per billion,13.826087,29,20,27,Parts per million,0.024417,0.039,9,33,Parts per billion,1.5,4,5,6,Parts per million,0.391667,0.5,0,6,11
806,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-19,Parts per billion,21.869565,31,9,29,Parts per million,0.012667,0.031,10,26,Parts per billion,1.5,3,9,4,Parts per million,0.641667,1,9,11,10
807,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-20,Parts per billion,19.521739,31,18,29,Parts per million,0.023708,0.04,10,34,Parts per billion,1.181818,2,6,3,Parts per million,0.629167,0.9,8,10,7
808,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-21,Parts per billion,19.173913,28,9,26,Parts per million,0.024917,0.037,10,31,Parts per billion,2.818182,12,10,17,Parts per million,0.479167,0.6,8,7,5
809,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-22,Parts per billion,11.608696,18,18,17,Parts per million,0.028167,0.036,23,31,Parts per billion,0.272727,1,0,1,Parts per million,0.3375,0.4,0,5,5
810,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-23,Parts per billion,5.304348,9,10,8,Parts per million,0.035917,0.038,10,32,Parts per billion,0,0,0,0,Parts per million,0.258333,0.4,0,5,3
811,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-24,Parts per billion,7.086957,20,20,19,Parts per million,0.032167,0.04,8,34,Parts per billion,0.272727,2,14,3,Parts per million,0.2375,0.3,5,3,7
812,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-25,Parts per billion,16.608696,33,19,31,Parts per million,0.019042,0.032,8,27,Parts per billion,1.227273,5,14,7,Parts per million,0.4,0.6,23,7,8
813,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-26,Parts per billion,13.652174,22,8,21,Parts per million,0.020333,0.04,10,34,Parts per billion,1.181818,6,15,9,Parts per million,0.5,0.7,8,8,8
814,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-27,Parts per billion,16.363636,25,19,24,Parts per million,0.020042,0.04,10,34,Parts per billion,1,5,16,7,Parts per million,0.495833,0.7,8,8,9
815,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-28,Parts per billion,18.818182,32,20,30,Parts per million,0.020167,0.044,10,37,Parts per billion,1.238095,6,14,9,Parts per million,0.541667,0.8,10,9,8
816,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-29,Parts per billion,21.130435,35,21,33,Parts per million,0.017667,0.037,11,31,Parts per billion,1.454545,7,9,10,Parts per million,0.554167,0.7,8,8,7
817,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-30,Parts per billion,16.608696,36,22,34,Parts per million,0.020167,0.043,10,36,Parts per billion,2.090909,10,13,14,Parts per million,0.491667,0.6,1,7,9
818,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-03-31,Parts per billion,17.173913,30,23,28,Parts per million,0.021917,0.048,10,41,Parts per billion,1.681818,13,14,19,Parts per million,0.579167,0.8,1,9,8
819,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-01,Parts per billion,22.130435,34,15,32,Parts per million,0.022083,0.036,10,31,Parts per billion,2.818182,19,15,27,Parts per million,0.583333,0.7,22,8,7
820,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-02,Parts per billion,11.826087,19,6,18,Parts per million,0.031667,0.038,21,32,Parts per billion,0.090909,1,11,1,Parts per million,0.445833,0.6,0,7,5
821,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-03,Parts per billion,9.782609,16,7,15,Parts per million,0.034083,0.036,20,31,Parts per billion,0,0,0,0,Parts per million,0.3375,0.4,10,5,5
822,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-04,Parts per billion,10.826087,15,8,14,Parts per million,0.028542,0.033,0,28,Parts per billion,0,0,0,0,Parts per million,0.304167,0.4,10,5,3
823,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-05,Parts per billion,13.434783,25,6,24,Parts per million,0.019167,0.025,8,21,Parts per billion,0,0,0,0,Parts per million,0.275,0.3,6,3,3
824,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-06,Parts per billion,7.043478,13,2,12,Parts per million,0.028917,0.034,8,29,Parts per billion,0.045455,1,9,1,Parts per million,0.233333,0.3,0,3,3
825,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-07,Parts per billion,7.391304,15,22,14,Parts per million,0.029208,0.037,10,31,Parts per billion,2.363636,19,13,27,Parts per million,0.216667,0.3,15,3,3
826,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-08,Parts per billion,10.173913,16,18,15,Parts per million,0.02225,0.026,19,22,Parts per billion,0,0,0,0,Parts per million,0.283333,0.3,0,3,3
827,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-09,Parts per billion,10.956522,16,18,15,Parts per million,0.016625,0.022,0,19,Parts per billion,0,0,0,0,Parts per million,0.2625,0.3,9,3,3
828,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-10,Parts per billion,8.826087,22,20,21,Parts per million,0.0235,0.034,10,29,Parts per billion,0.227273,1,19,1,Parts per million,0.220833,0.3,0,3,3
829,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-11,Parts per billion,11.478261,24,21,23,Parts per million,0.016458,0.028,9,24,Parts per billion,0.590909,5,17,7,Parts per million,0.2625,0.3,0,3,5
830,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-12,Parts per billion,13.130435,24,22,23,Parts per million,0.020917,0.042,10,36,Parts per billion,2.227273,10,9,14,Parts per million,0.3125,0.4,6,5,5
831,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-13,Parts per billion,11.391304,16,4,15,Parts per million,0.024667,0.048,11,41,Parts per billion,2.136364,14,14,20,Parts per million,0.3625,0.4,0,5,5
832,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-14,Parts per billion,4.782609,10,0,9,Parts per million,0.030167,0.049,20,42,Parts per billion,0.045455,1,13,1,Parts per million,0.2375,0.4,1,5,2
833,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-15,Parts per billion,6,14,20,13,Parts per million,0.036292,0.045,0,38,Parts per billion,0.5,3,19,4,Parts per million,0.183333,0.2,0,2,3
834,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-16,Parts per billion,8.772727,18,6,17,Parts per million,0.035167,0.042,9,36,Parts per billion,0.1,1,6,1,Parts per million,0.275,0.3,6,3,3
835,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-17,Parts per billion,8.521739,20,5,19,Parts per million,0.0315,0.04,8,34,Parts per billion,0,0,0,0,Parts per million,0.291667,0.3,0,3,8
836,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-18,Parts per billion,10.217391,28,6,26,Parts per million,0.02625,0.039,10,33,Parts per billion,1.136364,6,9,9,Parts per million,0.494118,0.7,14,8,10
837,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-19,Parts per billion,11.695652,29,6,27,Parts per million,0.026542,0.044,10,37,Parts per billion,0.545455,5,8,7,Parts per million,0.654167,0.9,7,10,7
838,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-20,Parts per billion,10.086957,20,4,19,Parts per million,0.030833,0.039,11,33,Parts per billion,0.045455,1,1,1,Parts per million,0.5625,0.6,0,7,7
839,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-21,Parts per billion,9.826087,19,5,18,Parts per million,0.036167,0.055,11,47,Parts per billion,1.909091,15,11,21,Parts per million,0.5,0.6,10,7,11
840,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-22,Parts per billion,14.217391,30,6,28,Parts per million,0.033958,0.059,11,50,Parts per billion,1.181818,7,15,10,Parts per million,0.641667,1,9,11,9
841,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-23,Parts per billion,15.565217,29,6,27,Parts per million,0.038417,0.056,10,47,Parts per billion,0.318182,6,17,9,Parts per million,0.5125,0.8,6,9,3
842,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-24,Parts per billion,9.565217,20,6,19,Parts per million,0.0305,0.037,10,31,Parts per billion,0,0,0,0,Parts per million,0.175,0.3,0,3,5
843,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,2002-04-25,Parts per billion,11.26087,19,6,18,Parts per million,0.033208,0.048,22,41,Parts per billion,0.333333,1,9,1,Parts per million,0.233333,0.4,16,5,3
