Number,TAQI,Compare
99,46.073863377,52
100,49.9813513547,57
101,51.4840868582,58
102,55.5320803389,61
103,55.6844029917,58
104,53.3440950106,44
105,52.6385203088,52
106,49.3339308005,57
107,53.6037720027,53
108,56.8171068636,44
109,54.3886918918,54
110,50.6170198583,72
111,53.7545145182,77
112,65.6039234459,73
113,68.9298622753,97
114,64.5808914202,52
115,70.8562812718,42
116,52.0361071769,39
117,48.7334850986,35
118,46.697092339,54
119,45.2611827572,46
120,52.5249079896,51
121,50.2134991835,65
122,50.9525582283,69
123,60.4634405389,49
124,61.1961566823,41
125,49.0157522684,53
126,43.298781258,60
127,50.52640137,65
128,53.9694157351,58
129,59.2693415332,71
130,54.5096384758,43
131,61.5844384407,42
132,49.1488057904,51
133,48.9058321266,87
134,52.6490966689,87
135,58.7435880157,61
136,66.3679868968,34
137,58.1345524685,48
138,43.4794932858,62
139,47.0139392448,40
140,54.9402645883,38
141,45.1767652535,37
142,44.7001176814,46
143,47.8650460789,50
144,50.9824461712,44
145,52.8046816496,51
146,49.3404548755,58
147,51.3555865438,34
148,53.9359290116,31
149,43.8863058192,38
150,42.006180227,58
151,47.8347122429,62
152,50.6401003457,33
153,49.0267688697,40
154,45.6131075236,55
155,48.7678384195,51
156,52.3257675436,51
157,53.0053726656,41
158,52.1306024483,56
159,47.071971118,47
160,53.9757107372,46
161,48.7952122091,44
162,46.1954920304,49
163,49.5731857758,31
164,52.7748124004,29
165,42.9604977685,32
166,41.7888848129,43
167,43.9806596707,48
168,48.238734859,66
169,50.6639509101,32
170,61.0359594045,39
171,43.08377691,31
172,46.2908626456,36
173,40.746578845,39
174,45.1971356688,42
175,42.4100970371,43
176,42.1728785758,58
177,49.0702999289,32
178,55.6932516317,53
179,43.5721468199,52
180,50.882078935,28
181,50.3456769474,28
182,39.2978864511,31
183,38.2961540276,33
184,40.5266335101,58
185,43.3446690188,52
186,53.1904172929,31
187,50.6728462555,60
188,44.8684242725,59
189,55.8684767235,34
190,54.941392908,29
191,44.5725186185,45
192,43.2696765074,62
193,48.9810873342,82
194,57.5448458771,82
195,67.6968666239,58
196,67.495311666,45
197,55.1303634365,43
198,47.5466019296,55
199,47.6788906775,27
200,50.1741768504,41
201,39.3229405935,63
202,47.0598055194,55
203,57.7781333231,42
204,55.1366042938,38
205,48.9263200764,31
206,45.5545758735,60
207,43.5247071871,54
208,55.4205828019,60
209,51.017590642,68
210,55.5249685755,53
211,59.9236619181,51
212,45.994362878,62
213,45.7425880268,56
214,51.7789410753,46
215,52.4039003592,31
216,46.5642516577,50
217,36.5110230646,57
218,48.6959382586,57
219,53.2037998803,59
220,53.3928855328,52
221,56.3418729501,32
222,51.0009677193,45
223,34.9595456761,31
224,42.9557402065,31
225,42.2236926476,32
226,40.9348134357,31
227,43.220883646,33
228,46.2327690931,34
229,43.9823389289,43
230,42.5251534934,55
231,47.2188335451,54
232,51.8781707079,54
233,51.2747687589,46
234,51.3491360116,38
235,46.4784888151,33
236,42.1937778214,43
237,41.7146294291,45
238,46.879423856,38
239,45.5013774698,53
240,43.2300267119,60
241,49.2849535688,57
242,54.2555726625,54
243,52.5627960979,71
244,51.0427827737,39
245,58.2878997154,34
246,41.8751814316,35
247,43.0300500793,44
248,41.8335379993,56
249,46.2423255012,37
250,53.0152948917,45
251,44.589568306,23
252,46.2359846414,37
253,35.391087344,39
254,34.3292418872,40
255,45.7297413645,43
256,48.2474069815,35
257,43.5624943006,45
258,44.1237743336,57
259,46.1297387056,30
260,41.5860549522,40
261,42.9385154133,62
262,46.0348399434,60
263,58.2404338756,49
264,55.9892887139,71
265,52.4994501715,62
266,59.337530611,43
267,54.1740399178,36
268,48.9716767429,42
269,40.7770478629,48
270,45.0548889374,40
271,48.7591628734,39
272,46.4564145104,37
273,42.7293094134,41
274,40.931782601,43
275,42.4797634645,42
276,45.6176213905,65
277,47.1566996503,51
278,57.8119765852,42
279,52.0109210122,38
280,47.6731873642,38
281,41.9669907515,44
282,41.0139568222,45
283,46.1444207511,51
284,47.5998850827,53
285,48.8059339697,48
286,50.1487078929,28
287,45.7114740489,46
288,40.8520127793,54
289,46.6371816033,20
290,52.7892166689,37
291,38.4403329456,43
292,43.9127919837,21
293,48.5397837913,15
294,39.1866907476,22
295,38.6121020031,34
296,41.6738105683,48
297,40.403498677,44
298,41.1392150075,46
299,43.8210988367,38
300,49.7649933012,49
301,47.3157586925,48
302,52.8983468002,40
303,47.1460471277,44
304,45.1588260286,43
305,45.9148618532,44
306,48.8243358261,58
307,48.6111026812,51
308,48.8303262657,71
309,46.3742434731,69
310,60.6281084149,77
311,62.6283380338,67
312,67.5958054346,68
313,60.9310899197,78
314,61.4032037355,122
315,68.2736688442,101
316,68.6257838347,87
317,67.627946198,72
318,71.9766331893,53
319,60.0545819295,84
320,53.4207094877,112
321,53.0016192127,52
322,63.0827890495,39
323,49.3109012555,43
324,45.7764060895,39
325,47.3266394161,39
326,46.5403993359,52
327,49.1950168713,29
328,50.7954729679,45
329,41.6980063609,64
330,48.7025959564,52
331,61.664415141,32
332,50.9392347912,23
333,42.5278401882,31
334,39.6164025436,37
335,44.8426358765,38
336,48.1742555567,40
337,47.4858978564,52
338,47.952771548,74
339,53.2617162486,71
340,57.6092796002,87
341,63.1066235601,54
342,71.30815965,64
343,50.3968476637,61
344,52.0801138147,54
345,57.6616661001,34
346,53.5839442029,51
347,42.0651781071,43
348,48.9060382605,70
349,47.6293282325,67
350,61.5733421397,71
351,60.5584894019,57
352,61.5784952671,32
353,52.2969751994,57
354,39.8224364405,62
355,48.3617516464,65
356,52.5021909544,85
357,60.0941051049,67
358,68.9810078866,54
359,57.0422649946,46
360,54.9484838009,37
361,49.1177164185,49
362,41.9974867709,51
363,50.3214268271,44
364,51.3178559843,53
365,46.6979150688,62
366,49.6721692635,54
367,50.3418459061,50
368,50.3422746985,39
369,49.251307022,38
370,46.2362508117,70
371,46.6032382921,61
372,58.4558325338,66
373,54.2202113952,67
374,58.6409861406,77
375,60.0045600359,65
376,65.5951743548,57
377,58.4091432742,52
378,54.7145789567,56
379,48.39543562,62
380,53.2536778198,75
381,58.7032758771,73
382,67.4609223555,56
383,64.489245708,53
384,53.3139584151,58
385,51.054746139,52
386,52.5664072632,38
387,54.0957072083,40
388,46.1322502631,62
389,48.3362627165,56
390,55.47366699,67
391,55.3164428776,69
392,60.8027704978,62
393,62.8412494138,54
