Number,SO2 AQI,SO2 AQI Compare
4616,6.79709958965,10
4617,4.13038169651,1
4618,4.55099131188,7
4619,5.00718320471,3
4620,4.72481491646,1
4621,6.23443678087,6
4622,5.33844170454,6
4623,1.30208137266,0
4624,0.933838165984,0
4625,1.30208137266,0
4626,1.37223892009,0
4627,1.72269098804,0
4628,1.9331636303,0
4629,2.90105435262,0
4630,1.75793759633,0
4631,1.45951626791,0
4632,2.72582831865,1
4633,1.41062605634,1
4634,2.12965700014,1
4635,0.744297190406,0
4636,5.74299827974,0
4637,6.97266129279,1
4638,1.7401464576,0
4639,0.91638269642,0
4640,1.19701288611,0
4641,1.51255401493,0
4642,2.58170135751,0
4643,2.16109174214,0
4644,3.67245170511,0
4645,3.93529075607,3
4646,2.72582831865,3
4647,2.41028718983,0
4648,3.95655809193,1
4649,1.97502696369,6
4650,0.31987570874,0
4651,2.11186586141,0
4652,2.93596529175,1
4653,2.19981454756,0
4654,3.00612283918,1
4655,3.63927886455,1
4656,5.65538526275,1
4657,3.88466244594,0
4658,1.81063967419,0
4659,2.63440343537,0
4660,2.67312624079,1
4661,2.3767786801,0
4662,4.90491957696,0
4663,3.99320712962,1
4664,3.78099638879,0
4665,4.32412996028,3
4666,3.20194487067,0
4667,2.78200659364,1
4668,2.33457967755,0
4669,2.93248909463,0
4670,0.844487050433,0
4671,2.30140683698,0
4672,2.21727001712,3
4673,2.79738829547,0
4674,2.35898754137,0
4675,2.23820168382,1
4676,4.16809749443,1
4677,3.71257693993,0
4678,3.57085941569,0
4679,1.07796512712,0
4680,1.65286910978,0
4681,0.793858740304,0
4682,1.84936247961,0
4683,3.09721205329,0
4684,3.41449128067,1
4685,2.01201167055,0
4686,2.07835735167,1
4687,2.97227866028,4
4688,2.76214168717,0
4689,3.00786093774,1
4690,3.49862810053,0
4691,3.27103565787,11
4692,2.8623315472,0
4693,3.05848924787,0
4694,3.14784036342,1
4695,2.78307335387,1
4696,3.80052562608,0
4697,1.40714985921,0
4698,3.03755758118,0
4699,3.81416922935,0
4700,4.48257186302,0
4701,0.897189128292,0
4702,1.60016703192,0
4703,1.84555061332,0
4704,3.46371716141,0
4705,2.72930451578,0
4706,2.11220153057,0
4707,2.77993282591,0
4708,2.73070694517,0
4709,3.65639866494,0
4710,3.48291072953,1
4711,4.07908204805,1
4712,4.21765904433,0
4713,3.7091007428,0
4714,4.41174297726,1
