Number,O3 AQI,O3 AQI Compare
4734,24.9647268851,11
4735,27.6194941546,10
4736,23.6539799474,18
4737,26.7119530815,33
4738,29.3959936797,29
4739,33.8006417591,28
4740,30.4512456738,26
4741,29.163117386,20
4742,31.6701737345,23
4743,29.3826843221,23
4744,30.4871736814,22
4745,29.3893390009,30
4746,34.9077869064,14
4747,28.0652827056,26
4748,34.2397756313,26
4749,32.001523584,33
4750,31.1099464821,27
4751,30.9329622323,32
4752,30.0480398092,27
4753,30.0413851304,31
4754,36.6283943876,25
4755,32.768008415,27
4756,30.9196528747,28
4757,26.4790767878,34
4758,29.7858901867,36
4759,29.1697720648,30
4760,28.9142771212,33
4761,32.001523584,31
4762,33.1419409508,21
4763,34.4593425674,31
4764,33.433363902,28
4765,32.0441062704,32
4766,33.5384921366,37
4767,31.5916630406,25
4768,32.5484414789,38
4769,35.310992771,31
4770,32.4406574562,24
4771,31.4572614772,25
4772,31.2376945411,28
4773,27.3773085685,31
4774,31.3428227758,26
4775,30.6841219675,33
4776,31.7819566479,33
4777,29.7925448655,31
4778,28.2555763129,29
4779,32.9223740147,29
4780,29.8351275519,33
4781,31.3720961045,36
4782,34.7933482049,35
4783,27.8097877619,45
4784,27.583566147,31
4785,30.0121118016,24
4786,30.9036889036,34
4787,31.3854054621,37
4788,33.9150804606,24
4789,31.6768284133,26
4790,29.5729779294,25
4791,33.1419409508,32
4792,32.0307969128,44
4793,30.7133952962,46
4794,32.3781119079,35
4795,31.7819566479,30
4796,34.1053740679,30
4797,32.6602243923,26
4798,30.2742614241,25
4799,28.9142771212,31
4800,30.2449880953,22
4801,30.0254211592,30
4802,30.0254211592,32
4803,31.7819566479,29
4804,30.798560669,34
4805,30.4645550314,29
4806,30.0254211592,29
4807,29.8058542231,29
4808,29.3667203509,34
4809,30.9462715899,40
4810,33.5877295018,37
4811,35.6423426205,27
4812,31.8245393343,35
4813,34.324941004,31
4814,29.586287287,33
4815,31.1299105185,34
4816,31.1299105185,37
4817,31.8245393343,38
4818,32.2210905201,39
4819,33.3189252006,38
4820,35.8619095566,30
4821,33.1485956296,41
4822,31.6049723982,43
4823,30.9329622323,45
4824,30.2449880953,46
4825,36.2384978805,34
4826,30.4645550314,29
4827,30.6841219675,34
4828,36.2092245518,36
4829,33.2271063235,45
4830,30.4938283602,38
4831,32.7028070786,58
4832,33.1419409508,50
4833,30.4645550314,74
4834,33.9150804606,67
4835,31.6049723982,51
4836,31.3854054621,35
4837,30.4645550314,31
4838,30.2449880953,34
4839,30.4645550314,26
4840,30.2449880953,27
4841,27.8164424407,25
4842,33.5611119611,43
4843,30.4645550314,25
4844,30.2449880953,23
4845,30.0254211592,33
4846,29.586287287,32
4847,30.2449880953,31
4848,29.8058542231,30
4849,31.7886113267,33
4850,32.2703278853,42
4851,32.0441062704,45
4852,30.9462715899,34
4853,32.7094617574,31
4854,30.6841219675,30
4855,30.6841219675,31
4856,30.9103435824,29
4857,31.1299105185,22
4858,29.3667203509,21
4859,30.6841219675,27
4860,30.0254211592,30
4861,30.4645550314,33
4862,29.3959936797,43
4863,28.5177259353,43
4864,29.8058542231,34
4865,30.4645550314,31
4866,30.0254211592,31
4867,30.4645550314,27
4868,31.3854054621,32
4869,37.4214979337,44
4870,36.5365755105,44
4871,29.3667203509,29
4872,29.8058542231,29
4873,30.6841219675,29
4874,30.4645550314,29
4875,30.6841219675,31
4876,33.8858071318,43
4877,31.5690443906,24
4878,31.1299105185,28
4879,32.0081782628,21
4880,31.1299105185,24
4881,31.3494774545,29
4882,32.0081782628,29
4883,30.4645550314,31
4884,31.165838526,35
4885,29.3667203509,13
4886,30.4645550314,11
4887,29.8058542231,10
4888,30.4645550314,13
4889,31.7819566479,38
4890,32.0441062704,41
4891,33.6662401957,45
4892,30.6841219675,34
4893,38.4048939127,44
4894,34.8785135776,42
4895,28.7372928714,51
4896,31.3854054621,37
4897,31.1299105185,23
4898,29.8058542231,28
4899,32.7879724514,40
4900,33.4466732596,44
4901,34.0002458333,49
4902,31.1232558397,41
4903,30.2449880953,26
4904,30.4645550314,28
4905,31.2802772275,34
4906,31.6049723982,33
4907,30.0254211592,22
4908,29.586287287,23
4909,27.5968755046,31
4910,35.3602301362,34
4911,31.2376945411,40
4912,27.1577416325,42
4913,26.9381746964,39
4914,27.3773085685,35
4915,32.0441062704,37
4916,30.4645550314,37
4917,30.6841219675,25
4918,30.2449880953,30
4919,30.0254211592,31
4920,30.0254211592,22
4921,27.1577416325,31
4922,30.3594267968,39
4923,30.0254211592,23
4924,29.8058542231,24
4925,30.4645550314,32
4926,29.8058542231,32
4927,30.0254211592,28
4928,30.6841219675,26
4929,30.0254211592,19
4930,29.3667203509,16
4931,30.4645550314,18
4932,27.1577416325,17
4933,30.0254211592,19
4934,27.1577416325,26
4935,27.3773085685,33
4936,34.3675236903,43
4937,30.2449880953,29
4938,30.4645550314,19
4939,30.6841219675,22
4940,29.8058542231,23
4941,32.9024111528,44
4942,42.9825285255,42
4943,31.3854054621,38
4944,30.2449880953,31
4945,30.2449880953,25
4946,30.2449880953,23
4947,30.0254211592,21
4948,29.8058542231,21
4949,31.6049723982,27
4950,32.0441062704,32
4951,30.4645550314,20
4952,27.3773085685,19
4953,33.7806788972,29
4954,26.9381746964,30
4955,29.586287287,27
4956,29.3667203509,22
4957,27.3773085685,33
4958,27.3773085685,32
4959,26.9381746964,31
4960,34.2623954557,41
4961,30.5789937329,67
4962,33.7806788972,51
4963,35.6942357737,40
4964,27.1577416325,26
4965,26.9381746964,29
4966,26.0532522732,29
4967,27.1577416325,29
4968,29.586287287,29
4969,30.0254211592,28
4970,30.4645550314,29
4971,30.2449880953,30
4972,35.0262244986,39
4973,33.4759465884,44
4974,30.6841219675,21
4975,30.2449880953,28
4976,33.2271063235,34
4977,34.1053740679,31
4978,30.4645550314,35
4979,31.3854054621,31
4980,32.9223740147,31
4981,30.2742614241,37
4982,31.9389780358,46
4983,26.4990408242,21
4984,26.7186077603,24
4985,31.4572614772,32
4986,30.054694488,30
4987,34.9836418122,31
4988,33.9776260088,32
4989,31.7819566479,40
4990,32.2636732065,44
4991,36.6350490663,49
4992,30.7133952962,33
4993,31.8245393343,30
4994,32.3355292216,31
4995,31.4572614772,27
4996,32.3781119079,26
4997,34.1479567542,33
4998,31.1525291684,32
4999,30.4871736814,36
5000,32.6894977211,36
5001,32.469930785,44
5002,36.2877340712,33
5003,29.1338440573,46
5004,31.7127564209,41
5005,42.6285588516,19
5006,43.726393532,23
5007,37.2312043264,21
5008,28.0360093768,27
5009,39.1713787436,28
5010,29.906983567,39
5011,27.363999211,25
5012,29.3534109934,22
5013,29.5729779294,22
5014,31.3654414257,27
5015,27.363999211,27
5016,29.163117386,30
5017,28.2489216341,25
5018,31.3720961045,29
5019,35.6290332629,28
5020,30.0054571228,28
5021,31.3228587394,28
5022,34.1213380391,34
5023,29.608905937,25
5024,27.1444322749,28
5025,28.5895819505,30
5026,26.6986437239,29
5027,32.0401073796,19
5028,31.3454785638,22
5029,28.8091488866,21
5030,45.4044195013,28
5031,27.3773085685,27
5032,29.3893390009,25
5033,28.029354698,22
5034,30.4512456738,17
5035,28.6947101851,14
5036,28.475143249,33
5037,28.475143249,31
5038,25.8203759795,21
5039,24.4963196842,23
5040,28.2781949629,23
5041,31.1099464821,21
5042,29.163117386,18
5043,30.0121118016,27
5044,31.1099464821,26
5045,31.1099464821,21
5046,29.608905937,22
5047,28.9435504499,27
5048,31.5490803542,31
5049,32.4273480986,24
5050,30.0054571228,21
5051,28.2781949629,22
5052,32.6602243923,28
5053,32.2210905201,25
5054,32.2077811625,27
5055,31.8045752979,23
5056,30.2250240589,19
5057,29.7792355079,18
5058,30.9196528747,18
5059,30.2609520665,16
5060,30.0054571228,22
5061,32.4566214274,18
5062,29.8151635155,19
5063,33.8032975471,15
5064,29.5596685719,21
5065,33.6396214805,23
5066,28.0586280268,14
5067,30.7785966326,18
5068,28.8943130848,21
5069,26.9541386675,16
5070,24.3126807557,24
5071,30.5590296965,19
5072,27.1670509248,8
5073,25.1909485,19
5074,28.0160453404,22
5075,27.8324064119,18
5076,26.0332882368,17
5077,31.6635190557,18
5078,29.1564627072,20
5079,27.7964784043,14
5080,30.9196528747,21
5081,29.7792355079,25
5082,28.7106741563,9
5083,30.1132411455,14
5084,27.5902208258,19
5085,28.2555763129,27
5086,28.2781949629,26
5087,25.1616751713,25
5088,28.9435504499,28
5089,28.4551792126,31
5090,29.0087517863,13
5091,26.5016954378,31
5092,26.2821285017,30
5093,29.2349734011,31
5094,29.8218181943,30
5095,31.5850083618,37
5096,32.4632761062,30
5097,30.2183693801,27
5098,31.1392198108,24
5099,27.1377775961,44
5100,30.8704155096,28
5101,27.1377775961,32
5102,29.8218181943,29
5103,31.7061017421,19
5104,28.6880555063,22
5105,26.9315200176,19
5106,28.9142771212,30
5107,27.8097877619,31
5108,28.029354698,31
5109,27.583566147,31
5110,28.029354698,31
5111,28.0652827056,26
5112,27.363999211,28
5113,26.9248653388,22
5114,24.2900621057,32
5115,26.2794738881,31
5116,26.2794738881,26
5117,28.0360093768,24
5118,33.9869364757,20
5119,30.5656843753,12
5120,26.2661645305,19
5121,25.6074637222,19
5122,27.8164424407,20
5123,27.8097877619,36
5124,27.5902208258,31
5125,28.029354698,26
5126,27.3706538898,34
5127,29.1271893785,31
5128,28.6880555063,32
5129,28.2489216341,34
5130,30.352772118,31
5131,29.7858901867,37
5132,30.352772118,36
5133,29.3534109934,34
5134,28.2489216341,37
5135,27.3706538898,41
5136,27.1510869537,37
5137,26.4923861454,34
5138,28.7306381926,21
5139,27.3706538898,28
5140,26.3087472169,28
5141,27.8164424407,35
5142,31.018127605,34
5143,27.1510869537,31
5144,27.6328035122,31
5145,26.2728192093,40
5146,26.2728192093,38
5147,27.8097877619,36
5148,30.7852513114,38
5149,37.5266261683,36
5150,31.018127605,42
5151,35.1406632001,41
5152,31.3854054621,41
5153,31.1525291684,39
5154,31.3720961045,43
5155,33.6888588457,46
5156,28.5962366293,38
5157,30.6149217404,40
5158,29.7366539961,42
5159,32.7121175455,44
5160,27.1510869537,36
5161,25.614118401,38
5162,27.8097877619,40
5163,26.7119530815,32
5164,30.0254211592,31
5165,30.2449880953,38
5166,31.8245393343,40
5167,32.2210905201,39
5168,30.4938283602,44
5169,28.6947101851,41
5170,27.8164424407,40
5171,28.2981589993,38
5172,30.1398598607,35
5173,26.9315200176,40
5174,27.6328035122,74
5175,28.5110712566,36
5176,32.1518902931,45
5177,29.6940713097,34
5178,26.2794738881,42
5179,27.639458191,44
5180,27.4132365761,46
5181,26.0532522732,38
5182,29.0353705014,46
5183,26.7119530815,36
5184,30.4645550314,40
5185,29.8058542231,44
5186,33.0075393874,47
5187,30.9036889036,44
5188,29.1471534149,46
5189,30.4645550314,44
5190,26.9381746964,40
5191,26.7186077603,41
5192,26.7186077603,41
5193,26.059906952,42
5194,30.1398598607,45
5195,28.9568598075,47
5196,28.9502051287,93
5197,30.352772118,126
5198,30.0121118016,48
5199,23.1922274253,40
5200,23.1922274253,35
5201,25.1749845289,38
5202,24.2900621057,37
5203,29.3667203509,41
5204,26.9381746964,40
5205,26.2794738881,43
5206,29.1471534149,39
5207,30.0254211592,39
5208,31.2376945411,48
5209,29.8351275519,80
5210,31.6768284133,133
5211,29.1764267436,77
5212,28.2555763129,44
5213,26.4990408242,35
5214,26.4990408242,36
5215,30.2449880953,32
5216,32.4898948214,37
5217,31.3854054621,39
5218,33.2271063235,44
5219,30.2449880953,31
5220,29.8058542231,31
5221,30.0254211592,39
5222,30.4645550314,37
5223,30.0254211592,44
5224,32.7879724514,46
5225,34.1053740679,47
5226,29.8058542231,39
5227,34.1479567542,50
5228,36.5858128757,54
5229,29.586287287,34
5230,30.1398598607,38
5231,30.5789937329,64
5232,33.7713684303,40
5233,33.3322345582,42
5234,40.4368883814,43
5235,38.3330378975,48
5236,37.4481154744,54
5237,34.692218861,31
5238,32.893100686,29
5239,34.4367239174,25
5240,36.3143527864,39
5241,36.3143527864,39
5242,33.9975900452,28
5243,33.9975900452,28
5244,34.9117857971,35
5245,37.6743370893,34
5246,34.472651925,33
5247,34.9117857971,33
5248,32.4539668138,31
5249,32.6735337499,31
5250,33.3322345582,34
5251,33.1126676221,25
5252,33.1126676221,15
5253,32.893100686,24
5254,33.3322345582,18
5255,32.6735337499,31
5256,36.5339197225,58
5257,38.6311155275,74
5258,32.0081782628,31
5259,32.0081782628,28
5260,31.5690443906,27
5261,32.0081782628,38
5262,35.6915799857,47
5263,37.7528477832,45
5264,41.3870121409,23
5265,32.0081782628,32
5266,31.7886113267,26
5267,31.5690443906,22
5268,31.5690443906,24
5269,31.1299105185,32
5270,31.7886113267,35
5271,37.7461931044,46
5272,30.2449880953,33
5273,31.3494774545,20
5274,31.3494774545,20
5275,31.5690443906,22
5276,30.0254211592,28
5277,30.9103435824,23
5278,31.3494774545,23
5279,30.0254211592,22
5280,31.5690443906,22
5281,32.7094617574,41
5282,32.4832401426,54
5283,40.5513270829,40
5284,34.5511626189,36
5285,30.4645550314,31
5286,34.0002458333,44
5287,35.1406632001,36
5288,34.0002458333,37
5289,33.1153234101,44
5290,30.0254211592,31
5291,29.8058542231,26
5292,30.2449880953,30
5293,31.932323357,21
5294,28.9502051287,41
5295,30.2449880953,30
5296,30.0254211592,41
5297,29.1471534149,24
5298,29.3667203509,29
5299,31.165838526,35
5300,30.2449880953,31
5301,29.8058542231,25
5302,30.2449880953,31
5303,28.2981589993,39
5304,32.4632772806,39
5305,32.7879724514,39
5306,26.7186077603,28
5307,26.2794738881,29
5308,26.2794738881,26
5309,29.9202929246,32
5310,26.7186077603,24
5311,29.3667203509,46
5312,29.1471534149,36
5313,26.4990408242,37
5314,27.3773085685,46
5315,29.7366539961,49
5316,29.7366539961,45
5317,26.7545357678,31
5318,26.7186077603,35
5319,29.7007259885,40
5320,29.0779531878,50
5321,25.1749845289,27
5322,29.7366539961,40
5323,29.7366539961,42
5324,25.8336853371,43
5325,25.614118401,54
5326,25.1749845289,54
5327,25.614118401,44
5328,29.0353705014,41
5329,31.9256686782,54
5330,34.5897464145,77
5331,34.8518960369,48
5332,31.394715929,46
5333,26.9741027039,43
5334,25.614118401,34
5335,27.6328035122,44
5336,25.3945514649,31
5337,32.6735337499,31
5338,32.0081782628,34
5339,31.5690443906,31
5340,32.6735337499,28
5341,32.2277451989,40
5342,31.7886113267,32
5343,31.3494774545,30
5344,31.3494774545,33
5345,33.5877295018,37
5346,31.7886113267,32
5347,32.0081782628,34
5348,32.9290286935,28
5349,32.9290286935,38
5350,35.2032087483,38
5351,33.3189252006,48
5352,35.1180433756,74
5353,35.4227756844,80
5354,41.6491617633,90
5355,36.4514101378,74
5356,35.8778747023,35
5357,34.6589466415,30
5358,31.5623897118,27
5359,31.1232558397,31
5360,31.9389780358,37
5361,32.469930785,40
5362,37.1952763188,45
5363,28.0360093768,34
5364,30.1398598607,33
5365,31.6768284133,35
5366,33.2563796523,40
5367,31.4998441636,37
5368,31.0607102914,33
5369,26.9381746964,36
5370,33.4759465884,39
5371,29.1338440573,36
5372,30.7919059902,31
5373,30.1332051819,34
5374,32.0081782628,36
5375,37.5332808471,34
5376,36.3436261151,29
5377,46.7644038042,31
5378,30.7133952962,38
5379,38.1520547571,35
5380,30.4645550314,31
5381,30.0254211592,34
5382,34.5870906264,30
5383,33.4759465884,26
5384,30.7067406174,27
5385,30.3461174392,32
5386,65.5580007424,39
5387,39.9085902458,40
5388,34.4686530342,36
5389,45.5255128816,39
5390,28.7306381926,31
5391,28.2555763129,36
5392,28.6880555063,37
5393,26.528314153,19
5394,26.9315200176,31
5395,28.2915043205,30
5396,23.8668922047,33
5397,17.8826928863,29
5398,26.2954378593,19
5399,25.7152477449,6
5400,27.960154471,14
5401,28.3992883431,25
5402,29.1764267436,31
5403,29.3959936797,31
5404,30.444590995,25
5405,26.7052984027,21
5406,27.6194941546,19
5407,24.9421082352,24
5408,27.1870149612,31
5409,27.4065818973,26
5410,25.6074637222,23
5411,28.4684885702,20
5412,27.8031330831,18
5413,26.0465975944,33
5414,25.1616751713,32
5415,28.6947101851,30
5416,30.2742614241,30
5417,26.9315200176,16
5418,29.3893390009,8
5419,28.7306381926,6
5420,32.4832401426,29
5421,30.9036889036,33
5422,29.5729779294,25
5423,28.2555763129,27
5424,29.1338440573,19
5425,28.4618338914,15
5426,25.8203759795,31
5427,32.4406574562,30
5428,26.9248653388,19
5429,26.4857314666,31
5430,28.6947101851,27
5431,31.5690443906,24
5432,29.3959936797,15
5433,29.5729779294,17
5434,29.1764267436,32
5435,32.9223740147,31
5436,31.1099464821,31
5437,28.4684885702,20
5438,28.9502051287,25
5439,30.0480398092,18
5440,31.1525291684,30
5441,31.8045752979,31
5442,30.4871736814,21
5443,29.163117386,23
5444,29.6022512582,18
5445,28.5044165778,28
5446,28.7173288351,22
5447,31.4439521196,27
5448,30.1198958243,19
5449,24.1782791923,16
5450,32.0041793721,18
5451,24.7518146278,24
5452,23.4344130113,20
5453,28.1371387207,5
5454,25.4171701149,15
5455,26.4857314666,17
5456,30.0280769473,9
5457,23.8442735547,18
5458,26.9607933463,18
5459,25.1976031788,19
5460,27.1803602824,15
5461,23.391830325,12
5462,21.0125220355,16
5463,26.9607933463,17
5464,25.1909485,19
5465,26.1543816171,13
5466,26.3020925381,28
5467,24.9780362427,27
5468,24.7584693066,23
5469,25.6008090434,34
5470,24.3193354345,20
5471,24.3126807557,28
5472,24.3126807557,19
5473,26.1610362959,16
5474,24.3126807557,30
5475,22.087738066,30
5476,21.4223825789,29
5477,21.641949515,37
5478,23.1855727465,35
5479,22.3006503233,31
5480,24.7584693066,27
5481,24.502974363,30
5482,28.7239835138,27
5483,25.6074637222,29
5484,28.6947101851,31
5485,27.3706538898,36
5486,26.0532522732,34
5487,29.1697720648,31
5488,30.6082670616,18
5489,26.9315200176,30
5490,27.1510869537,30
5491,26.9315200176,33
5492,28.9142771212,35
5493,30.9263075535,38
5494,29.1697720648,34
5495,31.2736225487,31
5496,27.3773085685,34
5497,25.8336853371,33
5498,29.0353705014,31
5499,26.7119530815,36
5500,28.9142771212,35
5501,28.029354698,38
5502,26.9248653388,40
5503,28.5044165778,44
5504,27.1870149612,44
5505,29.5889430751,45
5506,33.1512514177,31
5507,26.082525602,28
5508,27.5902208258,35
5509,23.221500754,37
5510,26.826391783,38
5511,33.5877295018,48
5512,36.1307138578,41
5513,37.8872493466,36
5514,34.2105023025,41
5515,35.1313527332,37
5516,35.1246980544,42
5517,34.4234145598,43
5518,31.5690443906,39
5519,33.1126676221,37
5520,33.5518014942,41
5521,32.0081782628,37
5522,34.026863374,34
5523,32.4832401426,45
5524,36.1240591791,29
5525,32.9290286935,44
5526,32.9290286935,43
5527,32.4406574562,33
5528,32.0081782628,43
5529,32.2277451989,44
5530,32.9223740147,42
5531,34.0202086952,42
5532,30.2449880953,45
5533,30.0254211592,43
5534,32.4406574562,43
5535,32.0081782628,44
5536,33.8006417591,43
5537,32.7028070786,44
5538,33.5451468154,48
5539,32.0081782628,38
5540,32.7094617574,46
5541,32.8864460072,41
5542,34.026863374,46
5543,33.581074823,45
5544,36.1307138578,50
5545,35.4227756844,71
5546,36.2092245518,51
5547,32.4832401426,44
5548,31.7886113267,38
5549,30.6907766463,33
5550,32.0081782628,34
5551,31.5690443906,36
5552,31.3494774545,44
5553,30.9103435824,37
5554,32.0507609492,44
5555,32.9290286935,39
5556,31.3494774545,29
5557,30.4645550314,38
5558,32.6602243923,54
5559,32.2210905201,90
5560,31.5690443906,58
5561,31.1299105185,45
5562,30.9103435824,41
5563,30.9103435824,41
5564,30.0254211592,41
5565,30.4645550314,43
5566,31.3428227758,44
5567,29.586287287,40
5568,29.3667203509,39
5569,29.3667203509,39
5570,32.893100686,44
5571,32.893100686,41
5572,31.5690443906,41
5573,31.7886113267,37
5574,32.2343998777,35
5575,32.4539668138,36
5576,33.1126676221,33
5577,31.1299105185,33
5578,31.1299105185,34
5579,31.3494774545,36
5580,31.5690443906,34
5581,30.6907766463,37
5582,30.6907766463,34
5583,30.6907766463,32
5584,31.1299105185,33
5585,31.3494774545,30
5586,30.2449880953,29
5587,31.5690443906,30
5588,30.0254211592,42
5589,30.9103435824,41
5590,30.9103435824,33
5591,31.7886113267,29
5592,31.1299105185,32
5593,26.7186077603,37
5594,27.1577416325,35
5595,30.0254211592,32
5596,33.489255946,61
5597,30.8344886765,77
5598,32.9223740147,41
5599,27.8097877619,30
5600,30.5789937329,61
5601,34.7015293279,51
5602,29.8058542231,41
5603,29.8058542231,34
5604,29.586287287,30
5605,27.3773085685,48
5606,33.341545025,49
5607,30.4645550314,35
5608,30.4645550314,41
5609,29.8058542231,44
5610,30.0254211592,43
5611,27.1577416325,34
5612,26.7186077603,42
5613,27.3773085685,41
5614,36.9823640615,61
5615,31.018127605,74
5616,26.4990408242,28
5617,26.7186077603,26
5618,27.1577416325,44
5619,32.4566226018,97
5620,31.7912671148,50
5621,37.7528477832,36
5622,31.7886113267,39
5623,31.1299105185,36
5624,30.6907766463,27
5625,31.7886113267,28
5626,31.3494774545,23
5627,30.9103435824,22
5628,30.9103435824,25
5629,31.5690443906,26
5630,31.3494774545,28
5631,31.1299105185,26
5632,31.5690443906,23
5633,30.6907766463,22
5634,36.3143527864,45
5635,33.3322345582,41
5636,37.6743370893,44
5637,32.4539668138,42
5638,33.3748172445,40
5639,33.3322345582,23
5640,32.6735337499,22
5641,32.4539668138,27
5642,32.6735337499,26
5643,33.1126676221,34
5644,32.4539668138,24
5645,32.2343998777,27
5646,34.9117857971,44
5647,33.3681625657,47
5648,40.0696105243,49
5649,32.9290286935,51
5650,31.5690443906,22
5651,31.1299105185,33
5652,32.6735337499,27
5653,32.4539668138,29
5654,33.5518014942,26
5655,34.990296491,47
5656,31.3854054621,34
5657,31.7886113267,31
5658,30.9103435824,28
5659,31.1299105185,29
5660,31.3494774545,21
5661,29.8058542231,26
5662,30.4645550314,22
5663,29.8058542231,30
5664,30.2449880953,32
5665,27.0526133978,77
5666,25.5089901664,105
5667,33.2297621116,84
5668,25.8336853371,48
5669,26.9381746964,38
5670,31.5690443906,38
5671,32.6735337499,27
5672,32.6735337499,34
5673,32.4539668138,37
5674,32.447312135,42
5675,35.9111469218,43
5676,34.990296491,47
5677,35.8685642354,38
5678,42.271934564,24
5679,32.893100686,26
5680,32.4539668138,33
5681,36.3143527864,41
5682,31.3494774545,33
5683,32.4539668138,29
5684,32.893100686,35
5685,33.1126676221,30
5686,32.6735337499,34
5687,32.4898948214,44
5688,34.770729555,74
5689,33.8006417591,90
5690,34.9836418122,100
5691,36.2384978805,54
5692,33.6955135245,50
5693,31.165838526,35
5694,34.2623954557,41
5695,29.586287287,28
5696,30.9103435824,33
5697,31.3494774545,35
5698,33.2271063235,39
5699,31.1232558397,44
5700,30.9036889036,84
5701,31.8245393343,100
5702,34.1346473967,108
5703,29.8058542231,31
5704,34.8066575625,40
5705,35.6716159493,44
5706,30.4938283602,34
5707,31.3854054621,31
5708,34.2623954557,40
5709,31.4931894848,36
5710,33.1060129433,35
5711,29.3534109934,26
5712,28.9142771212,24
5713,33.5877295018,37
5714,30.4645550314,36
5715,30.0254211592,43
5716,28.475143249,41
5717,28.475143249,39
5718,32.895756474,45
5719,33.3282356674,58
5720,32.5550961577,41
5721,30.6841219675,27
5722,34.5870906264,41
5723,30.7133952962,50
5724,34.8718588988,84
5725,33.433363902,58
5726,32.9942300299,36
5727,33.341545025,36
5728,29.586287287,35
5729,29.3667203509,36
5730,32.4832401426,32
5731,30.054694488,32
5732,30.0480398092,36
5733,33.7740242184,44
5734,37.5558994971,29
5735,34.4393797055,40
5736,28.2555763129,31
5737,30.4020094831,32
5738,34.324941004,34
5739,34.1346473967,35
5740,36.9823640615,26
5741,30.5071377177,29
5742,31.1232558397,28
5743,32.4832401426,28
5744,32.2503638489,29
5745,34.5311985825,23
5746,32.9942300299,29
5747,31.6701737345,26
5748,28.5110712566,31
5749,27.5968755046,37
5750,31.4506067984,32
5751,28.9435504499,24
5752,28.2848496417,25
5753,28.2781949629,25
5754,27.4850925912,30
5755,28.2981589993,34
5756,33.2071422871,33
5757,32.3288745428,26
5758,28.9435504499,27
5759,29.6874166309,20
5760,27.4065818973,24
5761,26.5150047954,30
5762,23.8802015623,27
5763,26.082525602,28
5764,27.8164424407,32
5765,29.3893390009,28
5766,28.0652827056,28
5767,26.91821066,31
5768,26.0332882368,30
5769,25.636737051,30
5770,26.2954378593,19
5771,25.8563039871,31
5772,25.8563039871,21
5773,24.7518146278,30
5774,25.8629586659,25
5775,19.6818110614,13
5776,15.7162968542,31
5777,25.1976031788,14
5778,27.4065818973,3
5779,27.8457157695,23
5780,29.8058542231,34
5781,32.001523584,32
5782,32.0441062704,32
5783,30.9103435824,35
5784,35.1180433756,29
5785,31.3654414257,30
5786,29.3826843221,18
5787,30.3461174392,12
