Number,O3 AQI,O3 AQI Compare
4616,38.9877398151,47
4617,29.3893390009,39
4618,35.7927093295,36
4619,31.6701737345,47
4620,31.1525291684,46
4621,35.7501266432,51
4622,36.4154821303,48
4623,30.4645550314,28
4624,30.2449880953,25
4625,30.4645550314,28
4626,30.4645550314,29
4627,31.3428227758,25
4628,31.3428227758,28
4629,29.3534109934,29
4630,30.9036889036,30
4631,31.5623897118,19
4632,29.8351275519,31
4633,29.1764267436,19
4634,29.3959936797,27
4635,27.8164424407,14
4636,31.1032918033,35
4637,30.2609520665,54
4638,31.5623897118,23
4639,30.0254211592,27
4640,30.0254211592,31
4641,30.4645550314,31
4642,32.4406574562,26
4643,31.5623897118,29
4644,30.2316787377,31
4645,33.6529308381,28
4646,31.6768284133,31
4647,28.475143249,31
4648,28.5044165778,29
4649,32.0108340509,12
4650,30.4645550314,14
4651,29.1338440573,20
4652,30.7133952962,25
4653,28.475143249,28
4654,30.7133952962,26
4655,29.3893390009,32
4656,31.8045752979,36
4657,28.9076224424,31
4658,30.6841219675,33
4659,32.2210905201,29
4660,30.054694488,28
4661,27.5902208258,23
4662,27.5769114682,26
4663,27.6194941546,22
4664,28.0227000192,22
4665,32.322219864,14
4666,28.6814008275,7
4667,26.9674480251,28
4668,33.3255798794,30
4669,32.4406574562,31
4670,31.3494774545,29
4671,31.5623897118,31
4672,31.4572614772,26
4673,28.4684885702,20
4674,28.2489216341,16
4675,27.1870149612,18
4676,28.9368957711,11
4677,26.6986437239,18
4678,27.1444322749,28
4679,26.7186077603,30
4680,30.4645550314,33
4681,29.3667203509,32
4682,27.5968755046,32
4683,27.363999211,19
4684,27.3999272185,16
4685,24.7225412991,14
4686,29.1697720648,12
4687,33.4692919096,9
4688,28.9076224424,15
4689,29.3893390009,23
4690,29.3467563146,21
4691,38.378276372,29
4692,32.4406574562,30
4693,30.4512456738,20
4694,30.2676067453,16
4695,27.3999272185,7
4696,26.0399429156,26
4697,30.9036889036,25
4698,32.8797913284,28
4699,29.7858901867,21
4700,28.0227000192,32
4701,31.1299105185,32
4702,30.6841219675,30
4703,31.1232558397,29
4704,28.9076224424,25
4705,26.2661645305,25
4706,28.2555763129,29
4707,28.2489216341,22
4708,25.8203759795,13
4709,29.5663232506,21
4710,28.7239835138,20
4711,29.163117386,24
4712,29.5663232506,29
4713,29.3467563146,24
4714,30.7000859387,13
4715,29.163117386,19
4716,31.0048182475,21
4717,28.2489216341,21
4718,25.1976031788,10
4719,26.5150047954,4
4720,25.8203759795,30
4721,33.581074823,29
4722,31.1099464821,28
4723,30.2676067453,30
4724,29.3401016358,31
4725,30.4379363162,32
4726,38.1028173919,17
4727,28.0586280268,22
4728,30.9196528747,23
4729,30.4805190026,26
4730,29.1271893785,26
4731,30.2676067453,29
4732,29.3826843221,25
4733,28.7173288351,16
