Number,SO2 TAQI,Compare
4616,27.7355947853,20
4617,19.8497703835,24
4618,22.1597873651,22
4619,21.0047788743,21
4620,20.0490054173,28
4621,24.4698043467,24
4622,21.7815181535,8
4623,11.784911804,7
4624,11.2074075586,8
4625,11.784911804,8
4626,11.784911804,12
4627,14.0949287856,12
4628,14.0949287856,17
4629,17.7389884357,10
4630,12.9399202948,13
4631,14.672433031,15
4632,16.5839799449,12
4633,14.8514672087,13
4634,15.4289714541,10
4635,13.6964587179,32
4636,26.7798213283,31
4637,26.5805862945,13
4638,14.672433031,6
4639,10.6299033132,6
4640,10.6299033132,8
4641,11.784911804,17
4642,16.9824500126,13
4643,14.672433031,21
4644,20.0490054173,24
4645,21.7815181535,15
4646,16.5839799449,13
4647,15.4289714541,23
4648,21.9605523313,18
4649,19.0730311043,8
4650,11.784911804,16
4651,17.1614841903,19
4652,18.8939969265,13
4653,15.4289714541,19
4654,18.8939969265,20
4655,19.8497703835,31
4656,26.2023170829,22
4657,21.0047788743,9
4658,12.3624160494,16
4659,16.4049457672,16
4660,17.1614841903,16
4661,17.5397534019,30
4662,26.3813512607,26
4663,24.0713342791,25
4664,23.1155608221,32
4665,27.1580905399,28
4666,24.8480735583,16
4667,17.9180226135,14
4668,14.8716680648,17
4669,16.9824500126,5
4670,9.67412985619,13
4671,14.672433031,14
4672,16.0064756995,20
4673,19.8497703835,19
4674,19.2722661381,17
4675,18.4955268589,32
4676,27.5363597515,26
4677,24.0713342791,21
4678,20.8055438405,5
4679,10.8089374909,8
4680,11.784911804,3
4681,8.89739057698,9
4682,13.1189544725,22
4683,21.3830480859,25
4684,23.4938300337,17
4685,18.8737960705,19
4686,19.2722661381,26
4687,23.3147958559,22
4688,21.0047788743,20
4689,19.8497703835,24
4690,22.1597873651,19
4691,19.2722661381,17
4692,16.9824500126,22
4693,20.6265096627,24
4694,22.1597873651,25
4695,23.4938300337,23
4696,22.3388215429,10
4697,12.9399202948,19
4698,18.1374585034,26
4699,23.3147958559,25
4700,23.1155608221,4
4701,9.09662561079,9
4702,12.3624160494,11
4703,13.5174245402,22
4704,21.0047788743,17
4705,18.4955268589,12
4706,14.8514672087,19
4707,19.2722661381,22
4708,21.7613172975,25
4709,22.7372916105,24
4710,22.5380565767,26
4711,23.6930650675,25
4712,22.7372916105,24
4713,22.1597873651,33
4714,27.7355947853,26
