Number,SO2 TAQI,Compare
4715,23.6930650675,26
4716,23.6930650675,19
4717,19.2722661381,22
4718,22.1395865091,28
4719,25.6046119815,22
4720,21.7613172975,18
4721,17.559954258,25
4722,22.3590223989,24
4723,22.1597873651,31
4724,26.5805862945,36
4725,29.4681075215,36
4726,29.8463767331,28
4727,25.2263427699,34
4728,28.3130990307,32
4729,27.1580905399,23
4730,21.5822831197,24
4731,22.1597873651,27
4732,24.2705693129,31
4733,26.9588555061,35
4734,30.4036801224,26
4735,24.0713342791,22
4736,22.5178557207,12
4737,15.2297364203,13
4738,15.4289714541,19
4739,18.1374585034,22
4740,20.6265096627,26
4741,23.6930650675,22
4742,21.0047788743,27
4743,24.2705693129,25
4744,22.7372916105,20
4745,19.8497703835,27
4746,24.2705693129,21
4747,20.8055438405,21
4748,19.2924669942,15
4749,15.8274415218,25
4750,22.3590223989,20
4751,19.4715011719,23
4752,21.5822831197,30
4753,26.0030820491,32
4754,26.7798213283,27
4755,23.8923001013,34
4756,28.3130990307,25
4757,23.4938300337,26
4758,23.3147958559,19
4759,19.2722661381,15
4760,16.5839799449,15
4761,15.8274415218,16
4762,16.4049457672,22
4763,19.8699712396,23
4764,21.2040139081,11
4765,13.5174245402,22
4766,19.8699712396,23
4767,21.2040139081,26
4768,23.3147958559,26
4769,23.3147958559,17
4770,16.9824500126,14
4771,16.0064756995,13
4772,15.4289714541,8
4773,12.5414502271,12
4774,14.0949287856,9
4775,12.3624160494,14
4776,15.2499372764,19
4777,18.8939969265,12
4778,14.8514672087,15
4779,15.8274415218,15
4780,16.5839799449,22
4781,20.6265096627,25
4782,22.3590223989,17
4783,18.1172576473,23
4784,21.9605523313,20
4785,19.4715011719,10
4786,12.9399202948,8
4787,11.784911804,21
4788,20.0490054173,15
4789,16.5839799449,18
4790,18.3164926811,16
4791,16.4049457672,25
4792,22.3590223989,19
4793,18.8939969265,14
4794,16.0064756995,14
4795,15.2499372764,12
4796,14.0949287856,18
4797,17.559954258,17
4798,17.7389884357,15
4799,16.5839799449,7
4800,11.2074075586,6
4801,10.6299033132,6
4802,10.6299033132,14
4803,15.2499372764,11
4804,14.2739629633,8
4805,11.784911804,6
4806,10.6299033132,5
4807,10.0523990678,3
4808,8.89739057698,6
4809,10.6299033132,11
4810,13.1391553286,19
4811,18.1374585034,10
4812,12.9399202948,13
4813,14.672433031,4
4814,9.47489482238,4
4815,9.09662561079,4
4816,9.09662561079,10
4817,12.9399202948,16
4818,16.4049457672,21
4819,19.2924669942,20
4820,18.7149627488,9
4821,11.9841468378,9
4822,12.3624160494,20
4823,19.4715011719,7
4824,11.2074075586,19
4825,18.8939969265,8
4826,11.784911804,9
4827,12.3624160494,9
4828,12.3624160494,8
4829,11.784911804,18
4830,18.3164926811,14
4831,15.2499372764,16
4832,16.4049457672,8
4833,11.784911804,21
4834,20.0490054173,9
4835,12.3624160494,8
4836,11.784911804,8
4837,11.784911804,7
4838,11.2074075586,8
4839,11.784911804,7
4840,11.2074075586,10
4841,13.6964587179,11
4842,14.2739629633,8
4843,11.784911804,7
4844,11.2074075586,6
4845,10.6299033132,4
4846,9.47489482238,7
4847,11.2074075586,5
4848,10.0523990678,7
4849,10.829138347,5
4850,9.67412985619,11
4851,13.5174245402,6
4852,10.6299033132,7
4853,10.829138347,9
4854,12.3624160494,9
4855,12.3624160494,3
4856,8.51912136539,4
4857,9.09662561079,3
4858,8.89739057698,9
4859,12.3624160494,6
4860,10.6299033132,8
4861,11.784911804,13
4862,15.4289714541,9
4863,13.1189544725,5
4864,10.0523990678,8
4865,11.784911804,6
4866,10.6299033132,8
4867,11.784911804,8
4868,11.784911804,16
4869,17.1614841903,19
4870,19.2722661381,3
4871,8.89739057698,5
4872,10.0523990678,9
4873,12.3624160494,8
4874,11.784911804,9
4875,12.3624160494,11
4876,13.5174245402,6
4877,10.2516341016,4
4878,9.09662561079,8
4879,11.4066425924,4
4880,9.09662561079,5
4881,9.67412985619,8
4882,11.4066425924,8
4883,11.784911804,7
4884,11.2074075586,3
4885,8.89739057698,8
4886,11.784911804,5
4887,10.0523990678,8
4888,11.784911804,14
4889,15.2499372764,11
4890,13.5174245402,10
4891,12.9399202948,9
4892,12.3624160494,19
4893,18.1374585034,17
4894,17.7389884357,10
4895,13.6964587179,8
4896,11.784911804,4
4897,9.09662561079,5
4898,10.0523990678,6
4899,10.6299033132,9
4900,12.3624160494,13
4901,15.4289714541,11
4902,13.5174245402,7
4903,11.2074075586,8
4904,11.784911804,9
4905,13.1189544725,9
4906,12.3624160494,6
4907,10.6299033132,4
4908,9.47489482238,9
4909,13.1189544725,15
4910,16.5839799449,13
4911,15.4289714541,7
4912,11.9639459817,6
4913,11.3864417363,8
4914,12.5414502271,11
4915,13.5174245402,8
4916,11.784911804,9
4917,12.3624160494,7
4918,11.2074075586,6
4919,10.6299033132,6
4920,10.6299033132,7
4921,11.9639459817,9
4922,13.1189544725,6
4923,10.6299033132,5
4924,10.0523990678,8
4925,11.784911804,5
4926,10.0523990678,6
4927,10.6299033132,9
4928,12.3624160494,6
4929,10.6299033132,3
4930,8.89739057698,8
4931,11.784911804,7
4932,11.9639459817,6
4933,10.6299033132,7
4934,11.9639459817,8
4935,12.5414502271,9
4936,12.3624160494,7
4937,11.2074075586,8
4938,11.784911804,9
4939,12.3624160494,5
4940,10.0523990678,8
4941,12.5414502271,19
4942,19.2722661381,8
4943,11.784911804,7
4944,11.2074075586,7
4945,11.2074075586,7
4946,11.2074075586,6
4947,10.6299033132,5
4948,10.0523990678,9
4949,12.3624160494,11
4950,13.5174245402,8
4951,11.784911804,8
4952,12.5414502271,12
4953,14.8514672087,6
4954,11.3864417363,4
4955,9.47489482238,3
4956,8.89739057698,8
4957,12.5414502271,8
4958,12.5414502271,6
4959,11.3864417363,10
4960,13.6964587179,10
4961,13.6964587179,12
4962,14.8514672087,18
4963,19.0730311043,7
4964,11.9639459817,6
4965,11.3864417363,9
4966,13.4972236841,7
4967,11.9639459817,4
4968,9.47489482238,6
4969,10.6299033132,8
4970,11.784911804,7
4971,11.2074075586,12
4972,14.0949287856,19
4973,18.8939969265,9
4974,12.3624160494,7
4975,11.2074075586,8
4976,11.784911804,12
4977,14.0949287856,8
4978,11.784911804,8
4979,11.784911804,15
4980,15.8274415218,17
4981,17.7389884357,12
4982,14.8514672087,4
4983,10.2314332455,5
4984,10.8089374909,14
4985,16.0064756995,16
4986,17.1614841903,16
4987,16.4049457672,24
4988,21.0249797304,14
4989,15.2499372764,12
4990,14.0949287856,25
4991,22.3590223989,19
4992,18.8939969265,10
4993,12.9399202948,18
4994,18.3164926811,14
4995,16.0064756995,14
4996,16.0064756995,8
4997,11.784911804,21
4998,20.0490054173,25
4999,22.7372916105,28
5000,24.0915351351,27
5001,23.5140308897,36
5002,28.7115690983,16
5003,17.1614841903,18
5004,18.6947618927,37
5005,30.0456117669,42
5006,32.9331329939,25
5007,23.1155608221,11
5008,14.2739629633,31
5009,26.2023170829,21
5010,20.8055438405,22
5011,21.3830480859,17
5012,17.7389884357,18
5013,18.3164926811,29
5014,25.0473085921,22
5015,21.3830480859,26
5016,23.6930650675,19
5017,19.2722661381,22
5018,20.6265096627,33
5019,26.9790563621,27
5020,23.8923001013,33
5021,27.3573255737,36
5022,29.4681075215,21
5023,20.4272746289,21
5024,20.8055438405,15
5025,17.3405183681,26
5026,24.0713342791,28
5027,25.6046119815,22
5028,21.7613172975,16
5029,17.9180226135,23
5030,21.2040139081,8
5031,12.5414502271,20
5032,19.8497703835,18
5033,18.6947618927,22
5034,20.6265096627,14
5035,16.0064756995,13
5036,15.4289714541,13
5037,15.4289714541,22
5038,21.7613172975,23
5039,22.7170907545,29
5040,25.8038470153,25
5041,22.3590223989,26
5042,23.6930650675,20
5043,19.4715011719,25
5044,22.3590223989,25
5045,22.3590223989,21
5046,20.4272746289,25
5047,23.1155608221,27
5048,23.5140308897,31
5049,25.8240478713,27
5050,23.8923001013,29
5051,25.8038470153,18
5052,17.559954258,16
5053,16.4049457672,30
5054,25.2465436259,31
5055,26.2023170829,28
5056,24.4698043467,33
5057,27.7355947853,34
5058,28.3130990307,31
5059,26.5805862945,27
5060,23.8923001013,41
5061,32.3556287485,36
5062,29.8463767331,29
5063,25.8038470153,32
5064,27.1580905399,38
5065,30.6231160123,28
5066,25.2263427699,32
5067,27.5363597515,36
5068,29.8463767331,30
5069,26.7596204723,25
5070,24.2503684569,31
5071,26.9588555061,38
5072,31.7579236471,29
5073,26.5603854385,32
5074,27.5363597515,34
5075,29.0696374539,30
5076,26.7596204723,29
5077,25.4255778037,33
5078,28.1138639969,31
5079,26.9588555061,34
5080,28.3130990307,33
5081,27.7355947853,38
5082,31.3796544355,36
5083,30.2246459447,16
5084,17.5397534019,12
5085,14.8514672087,29
5086,25.8038470153,19
5087,20.0288045613,25
5088,23.1155608221,34
5089,28.6913682423,38
5090,31.7579236471,42
5091,34.4462098402,41
5092,33.8687055948,32
5093,27.9146289631,29
5094,25.4255778037,30
5095,25.6248128375,34
5096,27.9348298191,35
5097,28.8906032761,35
5098,28.8906032761,28
5099,25.2263427699,45
5100,35.0439149417,28
5101,25.2263427699,29
5102,25.4255778037,25
5103,23.1155608221,21
5104,20.4272746289,13
5105,15.8072406657,15
5106,16.5839799449,17
5107,18.1172576473,18
5108,18.6947618927,23
5109,21.9605523313,18
5110,18.6947618927,21
5111,20.8055438405,22
5112,21.3830480859,20
5113,20.2280395951,8
5114,13.2979886503,3
5115,9.65392900015,3
5116,9.65392900015,11
5117,14.2739629633,27
5118,24.2705693129,24
5119,22.5380565767,17
5120,18.4955268589,14
5121,16.7630141227,10
5122,13.6964587179,17
5123,18.1172576473,16
5124,17.5397534019,18
5125,18.6947618927,15
5126,16.9622491565,23
5127,21.5822831197,21
5128,20.4272746289,19
5129,19.2722661381,16
5130,17.5397534019,26
5131,23.3147958559,16
5132,17.5397534019,17
5133,17.7389884357,19
5134,19.2722661381,15
5135,16.9622491565,14
5136,16.3847449111,11
5137,14.6522321749,17
5138,18.1172576473,15
5139,16.9622491565,13
5140,16.1855098773,10
5141,13.6964587179,12
5142,14.8514672087,14
5143,16.3847449111,12
5144,15.2297364203,10
5145,14.0747279295,10
5146,14.0747279295,17
5147,18.1172576473,25
5148,23.1155608221,15
5149,15.8274415218,12
5150,14.8514672087,14
5151,16.0064756995,8
5152,11.784911804,21
5153,20.0490054173,22
5154,20.6265096627,27
5155,23.8923001013,8
5156,12.9197194387,13
5157,15.8072406657,9
5158,13.4972236841,17
5159,18.4955268589,14
5160,16.3847449111,7
5161,12.3422151933,17
5162,18.1172576473,12
5163,15.2297364203,6
5164,10.6299033132,7
5165,11.2074075586,10
5166,12.9399202948,16
5167,16.4049457672,18
5168,18.3164926811,14
5169,16.0064756995,10
5170,13.6964587179,8
5171,12.5414502271,8
5172,12.5414502271,13
5173,15.8072406657,12
5174,15.2297364203,16
5175,17.5397534019,20
5176,19.8497703835,13
5177,15.8072406657,3
5178,9.65392900015,5
5179,10.8089374909,11
5180,14.6522321749,9
5181,13.4972236841,10
5182,14.0747279295,12
5183,15.2297364203,8
5184,11.784911804,5
5185,10.0523990678,7
5186,11.2074075586,10
5187,12.9399202948,2
5188,8.31988633158,8
5189,11.784911804,6
5190,11.3864417363,5
5191,10.8089374909,5
5192,10.8089374909,2
5193,9.07642475475,8
5194,12.5414502271,11
5195,14.2739629633,18
5196,18.6947618927,16
5197,17.5397534019,20
5198,19.4715011719,3
5199,10.4104674233,3
5200,10.4104674233,5
5201,11.1872067025,8
5202,13.2979886503,3
5203,8.89739057698,6
5204,11.3864417363,3
5205,9.65392900015,2
5206,8.31988633158,6
5207,10.6299033132,13
5208,15.4289714541,15
5209,16.5839799449,15
5210,16.5839799449,12
5211,14.8514672087,12
5212,14.8514672087,4
5213,10.2314332455,4
5214,10.2314332455,7
5215,11.2074075586,6
5216,10.2516341016,8
5217,11.784911804,8
5218,11.784911804,7
5219,11.2074075586,5
5220,10.0523990678,6
5221,10.6299033132,8
5222,11.784911804,6
5223,10.6299033132,6
5224,10.6299033132,12
5225,14.0949287856,5
5226,10.0523990678,8
5227,11.784911804,8
5228,12.5414502271,4
5229,9.47489482238,8
5230,12.5414502271,10
5231,13.6964587179,9
5232,11.6058776262,7
5233,10.4508691354,10
5234,12.1833818716,13
5235,13.9158946078,16
5236,16.0266765556,9
5237,11.6058776262,5
5238,9.29586064461,5
5239,8.91759143302,8
5240,11.0283733808,8
5241,11.0283733808,3
5242,7.76258294222,3
5243,7.76258294222,10
5244,12.1833818716,10
5245,12.1833818716,8
5246,11.0283733808,10
5247,12.1833818716,3
5248,8.14085215381,4
5249,8.71835639921,7
5250,10.4508691354,6
5251,9.87336489001,6
5252,9.87336489001,5
5253,9.29586064461,7
5254,10.4508691354,4
5255,8.71835639921,9
5256,11.6058776262,13
5257,14.2941638194,8
5258,11.4066425924,8
5259,11.4066425924,6
5260,10.2516341016,8
5261,11.4066425924,8
5262,11.4066425924,9
5263,11.9841468378,20
5264,18.7149627488,8
5265,11.4066425924,7
5266,10.829138347,6
5267,10.2516341016,6
5268,10.2516341016,4
5269,9.09662561079,7
5270,10.829138347,16
5271,16.4049457672,7
5272,11.2074075586,5
5273,9.67412985619,5
5274,9.67412985619,6
5275,10.2516341016,6
5276,10.6299033132,3
5277,8.51912136539,5
5278,9.67412985619,6
5279,10.6299033132,6
5280,10.2516341016,7
5281,10.829138347,13
5282,14.672433031,12
5283,14.0949287856,7
5284,10.829138347,8
5285,11.784911804,13
5286,15.4289714541,14
5287,16.0064756995,13
5288,15.4289714541,16
5289,17.5397534019,6
5290,10.6299033132,5
5291,10.0523990678,7
5292,11.2074075586,19
5293,19.2722661381,18
5294,18.6947618927,7
5295,11.2074075586,6
5296,10.6299033132,2
5297,8.31988633158,3
5298,8.89739057698,7
5299,11.2074075586,7
5300,11.2074075586,5
5301,10.0523990678,7
5302,11.2074075586,8
5303,12.5414502271,6
5304,11.3864417363,6
5305,10.6299033132,5
5306,10.8089374909,3
5307,9.65392900015,3
5308,9.65392900015,7
5309,11.9639459817,5
5310,10.8089374909,3
5311,8.89739057698,2
5312,8.31988633158,4
5313,10.2314332455,8
5314,12.5414502271,9
5315,13.4972236841,9
5316,13.4972236841,8
5317,12.9197194387,5
5318,10.8089374909,6
5319,11.3864417363,6
5320,11.7647109479,5
5321,11.1872067025,9
5322,13.4972236841,9
5323,13.4972236841,8
5324,12.9197194387,7
5325,12.3422151933,5
5326,11.1872067025,7
5327,12.3422151933,10
5328,14.0747279295,26
5329,23.6930650675,20
5330,20.6063088067,17
5331,18.8737960705,11
5332,15.0305013865,9
5333,13.4972236841,7
5334,12.3422151933,12
5335,15.2297364203,6
5336,11.7647109479,4
5337,8.71835639921,8
5338,11.4066425924,6
5339,10.2516341016,4
5340,8.71835639921,9
5341,11.9841468378,7
5342,10.829138347,5
5343,9.67412985619,5
5344,9.67412985619,11
5345,13.1391553286,7
5346,10.829138347,8
5347,11.4066425924,8
5348,11.4066425924,8
5349,11.4066425924,17
5350,16.9824500126,21
5351,19.2924669942,25
5352,21.6024839758,18
5353,17.559954258,17
5354,16.9824500126,27
5355,23.8923001013,16
5356,17.5397534019,16
5357,17.1614841903,13
5358,14.672433031,11
5359,13.5174245402,12
5360,14.8514672087,27
5361,23.5140308897,22
5362,21.0047788743,11
5363,14.2739629633,8
5364,12.5414502271,15
5365,16.5839799449,18
5366,18.3164926811,10
5367,13.6964587179,8
5368,12.5414502271,6
5369,11.3864417363,19
5370,18.8939969265,16
5371,17.1614841903,18
5372,18.6947618927,15
5373,16.9622491565,8
5374,11.4066425924,8
5375,11.4066425924,18
5376,17.559954258,25
5377,22.3590223989,19
5378,18.8939969265,25
5379,23.1155608221,8
5380,11.784911804,6
5381,10.6299033132,10
5382,12.9399202948,19
5383,18.8939969265,26
5384,23.3147958559,23
5385,21.9605523313,24
5386,22.5380565767,33
5387,27.7355947853,25
5388,23.1155608221,18
5389,18.6947618927,17
5390,18.1172576473,12
5391,14.8514672087,21
5392,20.4272746289,14
5393,16.7630141227,13
5394,15.8072406657,15
5395,16.9622491565,30
5396,27.5161588954,21
5397,23.07515911,27
5398,25.0271077361,23
5399,23.0953599661,22
5400,22.1395865091,24
5401,23.2945949999,12
5402,14.8514672087,13
5403,15.4289714541,29
5404,25.0473085921,19
5405,19.6505353497,26
5406,24.0713342791,18
5407,19.4513003159,17
5408,18.4955268589,18
5409,19.0730311043,14
5410,16.7630141227,20
5411,19.8497703835,24
5412,22.5380565767,16
5413,17.9180226135,19
5414,20.0288045613,14
5415,16.0064756995,17
5416,17.7389884357,13
5417,15.8072406657,20
5418,19.8497703835,17
5419,18.1172576473,13
5420,14.672433031,10
5421,12.9399202948,18
5422,18.3164926811,12
5423,14.8514672087,16
5424,17.1614841903,27
5425,24.2705693129,22
5426,21.7613172975,17
5427,16.9824500126,20
5428,20.2280395951,18
5429,19.0730311043,14
5430,16.0064756995,6
5431,10.2516341016,13
5432,15.4289714541,18
5433,18.3164926811,12
5434,14.8514672087,15
5435,15.8274415218,25
5436,22.3590223989,20
5437,19.8497703835,18
5438,18.6947618927,23
5439,21.5822831197,21
5440,20.0490054173,31
5441,26.2023170829,25
5442,22.7372916105,26
5443,23.6930650675,28
5444,24.8480735583,23
5445,21.9605523313,31
5446,26.9588555061,28
5447,24.8480735583,29
5448,25.8038470153,16
5449,19.0528302483,25
5450,23.4938300337,27
5451,25.4053769477,21
5452,21.9403514753,27
5453,25.0271077361,23
5454,22.7170907545,18
5455,19.0730311043,16
5456,18.2962918251,13
5457,16.5637790889,23
5458,22.3388215429,22
5459,22.1395865091,24
5460,22.9163257883,25
5461,24.2503684569,17
5462,20.0086037053,23
5463,22.3388215429,29
5464,26.5603854385,25
5465,24.2503684569,20
5466,20.6063088067,21
5467,21.5620822637,20
5468,20.9845780183,21
5469,21.1838130521,18
5470,19.8295695275,25
5471,24.2503684569,25
5472,24.2503684569,18
5473,19.8295695275,25
5474,24.2503684569,5
5475,11.9437451257,9
5476,14.6320313189,10
5477,15.2095355643,10
5478,14.8312663527,13
5479,16.9420483005,20
5480,20.9845780183,16
5481,18.2962918251,24
5482,22.5380565767,14
5483,16.7630141227,14
5484,16.0064756995,15
5485,16.9622491565,9
5486,13.4972236841,19
5487,19.2722661381,20
5488,20.2280395951,13
5489,15.8072406657,14
5490,16.3847449111,13
5491,15.8072406657,15
5492,16.5839799449,27
5493,23.8923001013,19
5494,19.2722661381,16
5495,17.5397534019,8
5496,12.5414502271,8
5497,12.9197194387,10
5498,14.0747279295,12
5499,15.2297364203,15
5500,16.5839799449,18
5501,18.6947618927,20
5502,20.2280395951,23
5503,21.9605523313,17
5504,18.4955268589,14
5505,17.1412833343,19
5506,19.6505353497,19
5507,20.0288045613,16
5508,17.5397534019,13
5509,16.9420483005,14
5510,17.1412833343,11
5511,13.1391553286,10
5512,12.5616510832,18
5513,17.1816850464,11
5514,12.760886117,11
5515,12.760886117,18
5516,17.1816850464,19
5517,17.7591892918,6
5518,10.2516341016,6
5519,9.87336489001,8
5520,11.0283733808,8
5521,11.4066425924,13
5522,14.2941638194,13
5523,14.672433031,17
5524,16.9824500126,8
5525,11.4066425924,8
5526,11.4066425924,17
5527,16.9824500126,8
5528,11.4066425924,9
5529,11.9841468378,15
5530,15.8274415218,20
5531,18.7149627488,7
5532,11.2074075586,6
5533,10.6299033132,17
5534,16.9824500126,8
5535,11.4066425924,19
5536,18.1374585034,14
5537,15.2499372764,15
5538,15.4491723102,8
5539,11.4066425924,7
5540,10.829138347,12
5541,13.716659574,13
5542,14.2941638194,18
5543,17.559954258,10
5544,12.5616510832,18
5545,17.559954258,9
5546,12.3624160494,13
5547,14.672433031,7
5548,10.829138347,2
5549,7.94161711999,8
5550,11.4066425924,6
5551,10.2516341016,5
5552,9.67412985619,3
5553,8.51912136539,4
5554,9.09662561079,8
5555,11.4066425924,5
5556,9.67412985619,8
5557,11.784911804,18
5558,17.559954258,16
5559,16.4049457672,6
5560,10.2516341016,4
5561,9.09662561079,3
5562,8.51912136539,3
5563,8.51912136539,6
5564,10.6299033132,8
5565,11.784911804,12
5566,14.0949287856,4
5567,9.47489482238,3
5568,8.89739057698,3
5569,8.89739057698,5
5570,9.29586064461,5
5571,9.29586064461,6
5572,10.2516341016,7
5573,10.829138347,2
5574,7.56334790841,3
5575,8.14085215381,6
5576,9.87336489001,4
5577,9.09662561079,4
5578,9.09662561079,5
5579,9.67412985619,6
5580,10.2516341016,2
5581,7.94161711999,2
5582,7.94161711999,2
5583,7.94161711999,4
5584,9.09662561079,5
5585,9.67412985619,7
5586,11.2074075586,6
5587,10.2516341016,6
5588,10.6299033132,3
5589,8.51912136539,3
5590,8.51912136539,7
5591,10.829138347,4
5592,9.09662561079,5
5593,10.8089374909,7
5594,11.9639459817,6
5595,10.6299033132,5
5596,10.0523990678,14
5597,16.3847449111,15
5598,15.8274415218,17
5599,18.1172576473,10
5600,13.6964587179,12
5601,14.8514672087,5
5602,10.0523990678,5
5603,10.0523990678,4
5604,9.47489482238,8
5605,12.5414502271,10
5606,13.6964587179,8
5607,11.784911804,8
5608,11.784911804,5
5609,10.0523990678,6
5610,10.6299033132,7
5611,11.9639459817,5
5612,10.8089374909,8
5613,12.5414502271,14
5614,16.0064756995,12
5615,14.8514672087,4
5616,10.2314332455,5
5617,10.8089374909,7
5618,11.9639459817,13
5619,15.8072406657,17
5620,18.4955268589,9
5621,11.9841468378,7
5622,10.829138347,4
5623,9.09662561079,2
5624,7.94161711999,7
5625,10.829138347,5
5626,9.67412985619,3
5627,8.51912136539,3
5628,8.51912136539,6
5629,10.2516341016,5
5630,9.67412985619,4
5631,9.09662561079,6
5632,10.2516341016,2
5633,7.94161711999,8
5634,11.0283733808,7
5635,10.4508691354,10
5636,12.1833818716,3
5637,8.14085215381,3
5638,8.14085215381,7
5639,10.4508691354,4
5640,8.71835639921,3
5641,8.14085215381,4
5642,8.71835639921,6
5643,9.87336489001,3
5644,8.14085215381,2
5645,7.56334790841,10
5646,12.1833818716,10
5647,12.5616510832,14
5648,15.2499372764,8
5649,11.4066425924,6
5650,10.2516341016,4
5651,9.09662561079,4
5652,8.71835639921,3
5653,8.14085215381,8
5654,11.0283733808,9
5655,11.9841468378,8
5656,11.784911804,7
5657,10.829138347,3
5658,8.51912136539,4
5659,9.09662561079,5
5660,9.67412985619,5
5661,10.0523990678,8
5662,11.784911804,5
5663,10.0523990678,7
5664,11.2074075586,8
5665,13.2979886503,8
5666,13.6762578619,18
5667,19.4513003159,8
5668,12.9197194387,6
5669,11.3864417363,6
5670,10.2516341016,4
5671,8.71835639921,4
5672,8.71835639921,3
5673,8.14085215381,10
5674,12.5616510832,9
5675,11.9841468378,9
5676,11.9841468378,13
5677,14.2941638194,17
5678,16.604180801,5
5679,9.29586064461,3
5680,8.14085215381,8
5681,11.0283733808,5
5682,9.67412985619,3
5683,8.14085215381,5
5684,9.29586064461,6
5685,9.87336489001,4
5686,8.71835639921,6
5687,10.2516341016,8
5688,11.4066425924,19
5689,18.1374585034,16
5690,16.4049457672,19
5691,18.8939969265,20
5692,19.4715011719,7
5693,11.2074075586,10
5694,13.6964587179,4
5695,9.47489482238,3
5696,8.51912136539,5
5697,9.67412985619,8
5698,11.784911804,11
5699,13.5174245402,10
5700,12.9399202948,10
5701,12.9399202948,22
5702,20.6265096627,5
5703,10.0523990678,11
5704,13.5174245402,29
5705,24.6690393805,18
5706,18.3164926811,8
5707,11.784911804,10
5708,13.6964587179,17
5709,18.1172576473,13
5710,14.2941638194,17
5711,17.7389884357,15
5712,16.5839799449,11
5713,13.1391553286,8
5714,11.784911804,6
5715,10.6299033132,13
5716,15.4289714541,13
5717,15.4289714541,15
5718,16.9622491565,24
5719,22.5380565767,19
5720,18.8939969265,9
5721,12.3624160494,10
5722,12.9399202948,19
5723,18.8939969265,24
5724,22.1597873651,23
5725,21.2040139081,21
5726,20.0490054173,10
5727,13.6964587179,4
5728,9.47489482238,3
5729,8.89739057698,13
5730,14.672433031,16
5731,17.1614841903,23
5732,21.5822831197,19
5733,19.2722661381,25
5734,22.3590223989,15
5735,16.5839799449,12
5736,14.8514672087,5
5737,10.8089374909,13
5738,14.672433031,22
5739,20.6265096627,14
5740,16.0064756995,4
5741,9.47489482238,11
5742,13.5174245402,13
5743,14.672433031,26
5744,22.9365266443,28
5745,24.0915351351,21
5746,20.0490054173,22
5747,21.0047788743,16
5748,17.5397534019,9
5749,13.1189544725,21
5750,20.4272746289,25
5751,23.1155608221,22
5752,21.3830480859,29
5753,25.8038470153,17
5754,18.8737960705,8
5755,12.5414502271,29
5756,25.0473085921,25
5757,22.7372916105,25
5758,23.1155608221,20
5759,20.2280395951,18
5760,19.0730311043,28
5761,25.6046119815,16
5762,18.6745610367,19
5763,20.0288045613,10
5764,13.6964587179,20
5765,19.8497703835,21
5766,20.8055438405,27
5767,24.6488385245,30
5768,26.7596204723,24
5769,23.2945949999,27
5770,25.0271077361,25
5771,23.8720992453,25
5772,23.8720992453,27
5773,25.4053769477,18
5774,19.4513003159,25
5775,25.3851760916,21
5776,23.8316975332,22
5777,22.1395865091,18
5778,19.0730311043,20
5779,20.2280395951,5
5780,10.0523990678,15
5781,15.8274415218,11
5782,13.5174245402,3
5783,8.51912136539,25
5784,21.6024839758,29
5785,25.0473085921,27
5786,24.2705693129,23
