Number,State Code,County Code,Site Num,Date Local,Local Site Name,State Name,County Name,City Name,Temp Arithmetic Mean,Wind SpeedArithmetic Mean,Wind Direction Arithmetic Mean,Barometric pressure Arithmetic Mean,CO Arithmetic Mean,CO AQI,SO2 Arithmetic Mean,SO2 AQI,NO2 Arithmetic Mean,NO2 AQI,Ozone Arithmetic Mean,Ozone AQI,PM2.5 Arithmetic Mean,PM2.5 AQI,AQI,TAQI
1,1,73,23,2014/1/1,North Birmingham,Alabama,Jefferson,Birmingham,42.566667,1.2,107.666667,998.5,16.5125,6,0.01325,3,16.5125,44,0.01325,19,14.3,56,56,27
2,1,73,23,2014/1/3,North Birmingham,Alabama,Jefferson,Birmingham,26.825,2.270833,163.75,1002.083333,1.725,2,0.019708,6,1.725,1,0.019708,27,4.9,20,27,29
3,1,73,23,2014/1/6,North Birmingham,Alabama,Jefferson,Birmingham,19.6375,7.8875,74.333333,1000.6375,4.872727,1,0.028583,0,4.872727,8,0.028583,29,6.5,27,29,63
4,1,73,23,2014/1/7,North Birmingham,Alabama,Jefferson,Birmingham,15.929167,0.975,206.833333,1006.491667,12.7625,5,0.014792,4,12.7625,63,0.014792,23,5.1,21,63,44
5,1,73,23,2014/2/18,North Birmingham,Alabama,Jefferson,Birmingham,58.675,1.95,191.541667,996.420833,7.693333,5,0.016375,7,7.693333,13,0.016375,22,10.5,44,44,45
6,1,73,23,2014/2/19,North Birmingham,Alabama,Jefferson,Birmingham,62.770833,1.8,178.5,994.204167,12.175,3,0.01375,1,12.175,24,0.01375,19,10.8,45,45,29
7,1,73,23,2014/2/20,North Birmingham,Alabama,Jefferson,Birmingham,66.7375,1.75,109.666667,991.283333,4.875,3,0.019125,1,4.875,7,0.019125,22,7,29,29,34
8,1,73,23,2014/2/21,North Birmingham,Alabama,Jefferson,Birmingham,50.729167,1.970833,201.541667,993.775,10.183333,5,0.018625,9,10.183333,32,0.018625,33,8.1,34,34,52
9,1,73,23,2014/2/22,North Birmingham,Alabama,Jefferson,Birmingham,52.691667,1.55,92.416667,995.329167,16.070833,7,0.016875,11,16.070833,33,0.016875,31,12.4,52,52,43
10,1,73,23,2014/2/23,North Birmingham,Alabama,Jefferson,Birmingham,57.7875,0.858333,202.666667,992.695833,18.908333,6,0.018375,11,18.908333,33,0.018375,36,10.3,43,43,30
11,1,73,23,2014/2/24,North Birmingham,Alabama,Jefferson,Birmingham,51.041667,2.208333,208.708333,996.245833,6.770833,7,0.021292,9,6.770833,26,0.021292,30,5.9,25,30,46
12,1,73,23,2014/2/25,North Birmingham,Alabama,Jefferson,Birmingham,48.925,0.95,144.291667,993.533333,17.004762,3,0.016417,27,17.004762,28,0.016417,23,11.1,46,46,35
13,1,73,23,2014/2/26,North Birmingham,Alabama,Jefferson,Birmingham,35.708333,2.429167,192.375,990.645833,4.595833,2,0.02475,1,4.595833,8,0.02475,27,8.5,35,35,34
